algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race-sex,1-accuracy-race-sex,race-sex-accuracy,0-accuracy-race-sex_over_1-1-accuracy-race-sex,1-accuracy-race-sex_over_1-1-accuracy-race-sex,race-sex-accuracyRatio,diff:1-1-accuracy-race-sexto0-accuracy-race-sex,diff:1-1-accuracy-race-sexto1-accuracy-race-sex,race-sex-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race-sex,1-TPR-race-sex,race-sex-TPR,0-TPR-race-sex_over_1-1-TPR-race-sex,1-TPR-race-sex_over_1-1-TPR-race-sex,race-sex-TPRRatio,diff:1-1-TPR-race-sexto0-TPR-race-sex,diff:1-1-TPR-race-sexto1-TPR-race-sex,race-sex-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race-sex,1-TNR-race-sex,race-sex-TNR,0-TNR-race-sex_over_1-1-TNR-race-sex,1-TNR-race-sex_over_1-1-TNR-race-sex,race-sex-TNRRatio,diff:1-1-TNR-race-sexto0-TNR-race-sex,diff:1-1-TNR-race-sexto1-TNR-race-sex,race-sex-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race-sex,1-FPR-race-sex,race-sex-FPR,0-FPR-race-sex_over_1-1-FPR-race-sex,1-FPR-race-sex_over_1-1-FPR-race-sex,race-sex-FPRRatio,diff:1-1-FPR-race-sexto0-FPR-race-sex,diff:1-1-FPR-race-sexto1-FPR-race-sex,race-sex-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race-sex,1-FNR-race-sex,race-sex-FNR,0-FNR-race-sex_over_1-1-FNR-race-sex,1-FNR-race-sex_over_1-1-FNR-race-sex,race-sex-FNRRatio,diff:1-1-FNR-race-sexto0-FNR-race-sex,diff:1-1-FNR-race-sexto1-FNR-race-sex,race-sex-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race-sex,1-PR-race-sex,race-sex-PR,0-PR-race-sex_over_1-1-PR-race-sex,1-PR-race-sex_over_1-1-PR-race-sex,race-sex-PRRatio,diff:1-1-PR-race-sexto0-PR-race-sex,diff:1-1-PR-race-sexto1-PR-race-sex,race-sex-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race-sex,1-calibration+-race-sex,race-sex-calibration+,0-calibration+-race-sex_over_1-1-calibration+-race-sex,1-calibration+-race-sex_over_1-1-calibration+-race-sex,race-sex-calibration+Ratio,diff:1-1-calibration+-race-sexto0-calibration+-race-sex,diff:1-1-calibration+-race-sexto1-calibration+-race-sex,race-sex-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race-sex,1-calibration--race-sex,race-sex-calibration-,0-calibration--race-sex_over_1-1-calibration--race-sex,1-calibration--race-sex_over_1-1-calibration--race-sex,race-sex-calibration-Ratio,diff:1-1-calibration--race-sexto0-calibration--race-sex,diff:1-1-calibration--race-sexto1-calibration--race-sex,race-sex-calibration-Diff
GP,s_as_input=False,0,0.816509199,0.474630443,0.929819915,0.702225179,0.464633116,0.560923518,0.560923518,0.920057099,0.853191489,0.810526316,0.831858903,1.052638851,1.052638851,1.042665174,1.042665174,0.891983906,0.78077374,0.836378823,1.142435843,1.142435843,1.111210166,1.111210166,0.874224758,0.777888446,0.826056602,None,None,1,None,None,1,0.358744395,0.485964912,0.422354653,0.738210487,0.738210487,0.872779482,0.872779482,0.296918768,0.504193849,0.400556308,0.588898036,0.588898036,0.792724918,0.792724918,0.316981132,0.516979219,0.416980176,None,None,1,None,None,1,0.946082561,0.926787117,0.936434839,1.020819715,1.020819715,1.019295444,1.019295444,0.965901183,0.907652843,0.936777013,1.06417469,1.06417469,1.05824834,1.05824834,0.958583262,0.904961738,0.9317725,None,None,1,None,None,1,0.053917439,0.073212883,0.063565161,0.736447422,0.736447422,0.980704556,0.980704556,0.034098817,0.092347157,0.063222987,0.369245986,0.369245986,0.94175166,0.94175166,0.041416738,0.095038262,0.0682275,None,None,1,None,None,1,0.641255605,0.514035088,0.577645347,1.24749384,1.24749384,1.127220518,1.127220518,0.703081232,0.495806151,0.599443692,1.418056696,1.418056696,1.207275082,1.207275082,0.683018868,0.483020781,0.583019824,None,None,1,None,None,1,0.10212766,0.182070561,0.14209911,0.560923518,0.560923518,0.920057099,0.920057099,0.063138347,0.221864009,0.142501178,0.284581296,0.284581296,0.841274338,0.841274338,0.077648226,0.233233732,0.155440979,None,None,1,None,None,1,0.555555556,0.703939009,0.629747282,0.789209787,0.789209787,0.851616547,0.851616547,0.519607843,0.714663144,0.617135494,0.727066797,0.727066797,0.804944699,0.804944699,0.536741214,0.725978648,0.631359931,None,None,1,None,None,1,0.112954186,0.165747419,0.139350803,0.681483833,0.681483833,0.947206767,0.947206767,0.082920383,0.200376648,0.141648516,0.413822589,0.413822589,0.882543735,0.882543735,0.097364174,0.206321715,0.151842944,None,None,1,None,None,1
GP,s_as_input=False,1,0.81024366,0.470235717,0.922934322,0.69658502,0.447480938,0.668788513,0.668788513,0.939236389,0.85106383,0.803585888,0.827324859,1.059082598,1.059082598,1.047477942,1.047477942,0.892378049,0.770479705,0.831428877,1.158210973,1.158210973,1.121898344,1.121898344,0.874877089,0.766327042,0.820602066,None,None,1,None,None,1,0.417040359,0.475438596,0.446239478,0.877169758,0.877169758,0.941601762,0.941601762,0.315217391,0.496955504,0.406086447,0.634297013,0.634297013,0.818261888,0.818261888,0.357274401,0.501530612,0.429402507,None,None,1,None,None,1,0.932603201,0.921131186,0.926867194,1.012454269,1.012454269,1.011472015,1.011472015,0.965315934,0.896336207,0.93082607,1.076957426,1.076957426,1.068979727,1.068979727,0.954609929,0.89520735,0.92490864,None,None,1,None,None,1,0.067396799,0.078868814,0.073132806,0.854543075,0.854543075,0.988527985,0.988527985,0.034684066,0.103663793,0.06917393,0.334582258,0.334582258,0.931020273,0.931020273,0.045390071,0.10479265,0.07509136,None,None,1,None,None,1,0.582959641,0.524561404,0.553760522,1.111327744,1.111327744,1.058398238,1.058398238,0.684782609,0.503044496,0.593913553,1.361276415,1.361276415,1.181738112,1.181738112,0.642725599,0.498469388,0.570597493,None,None,1,None,None,1,0.122695035,0.183458647,0.153076841,0.668788513,0.668788513,0.939236389,0.939236389,0.066158537,0.227601476,0.146880006,0.290677098,0.290677098,0.838557061,0.838557061,0.087020649,0.234675129,0.160847889,None,None,1,None,None,1,0.537572254,0.683480454,0.610526354,0.786521767,0.786521767,0.8540918,0.8540918,0.534562212,0.688067445,0.611314828,0.776903799,0.776903799,0.846494767,0.846494767,0.548022599,0.699644128,0.623833363,None,None,1,None,None,1,0.105092967,0.169429098,0.137261032,0.620276967,0.620276967,0.935663869,0.935663869,0.082272282,0.205236002,0.143754142,0.400866715,0.400866715,0.87703628,0.87703628,0.093968767,0.213225666,0.153597216,None,None,1,None,None,1
GP,s_as_input=False,2,0.811536549,0.477826608,0.922139831,0.699983219,0.452697953,0.608209559,0.608209559,0.92644582,0.85106383,0.805089647,0.828076738,1.057104427,1.057104427,1.045974183,1.045974183,0.888175985,0.77455028,0.831363133,1.14669894,1.14669894,1.113625705,1.113625705,0.873367825,0.769679787,0.821523806,None,None,1,None,None,1,0.390134529,0.486403509,0.438269019,0.802080006,0.802080006,0.90373102,0.90373102,0.282666667,0.512218045,0.397442356,0.551848318,0.551848318,0.770448622,0.770448622,0.325966851,0.519897959,0.422932405,None,None,1,None,None,1,0.937657961,0.919245876,0.928451919,1.020029554,1.020029554,1.018412085,1.018412085,0.96652864,0.894499355,0.930513998,1.080524692,1.080524692,1.072029285,1.072029285,0.957906712,0.890981169,0.924443941,None,None,1,None,None,1,0.062342039,0.080754124,0.071548081,0.771998204,0.771998204,0.981587915,0.981587915,0.03347136,0.105500645,0.069486002,0.317262133,0.317262133,0.927970715,0.927970715,0.042093288,0.109018831,0.075556059,None,None,1,None,None,1,0.609865471,0.513596491,0.561730981,1.187440883,1.187440883,1.09626898,1.09626898,0.717333333,0.487781955,0.602557644,1.470602441,1.470602441,1.229551378,1.229551378,0.674033149,0.480102041,0.577067595,None,None,1,None,None,1,0.114184397,0.187738577,0.150961487,0.608209559,0.608209559,0.92644582,0.92644582,0.062022609,0.233117075,0.147569842,0.266057771,0.266057771,0.828905535,0.828905535,0.080068983,0.243328886,0.161698934,None,None,1,None,None,1,0.540372671,0.683302526,0.611837598,0.790824928,0.790824928,0.857070145,0.857070145,0.522167488,0.689437065,0.605802276,0.757382384,0.757382384,0.832730423,0.832730423,0.544615385,0.698423578,0.621519481,None,None,1,None,None,1,0.10888711,0.166761606,0.137824358,0.652950712,0.652950712,0.942125503,0.942125503,0.08762215,0.199577004,0.143599577,0.439039308,0.439039308,0.888045145,0.888045145,0.098018211,0.207405775,0.152711993,None,None,1,None,None,1
GP,s_as_input=False,3,0.816907011,0.488613664,0.925715042,0.707164353,0.46895374,0.599914894,0.599914894,0.924796033,0.85248227,0.811104685,0.831793477,1.051013865,1.051013865,1.041377585,1.041377585,0.894528875,0.779157428,0.836843152,1.148072063,1.148072063,1.115371447,1.115371447,0.879373624,0.774128686,0.826751155,None,None,1,None,None,1,0.390134529,0.498245614,0.444190072,0.783016485,0.783016485,0.891888915,0.891888915,0.333333333,0.517535545,0.425434439,0.644078144,0.644078144,0.815797788,0.815797788,0.371886121,0.522411128,0.447148625,None,None,1,None,None,1,0.939342881,0.923173606,0.931258243,1.017514881,1.017514881,1.016169276,1.016169276,0.970659303,0.897744361,0.934201832,1.081220161,1.081220161,1.072914942,1.072914942,0.960283688,0.895455674,0.927869681,None,None,1,None,None,1,0.060657119,0.076826394,0.068741757,0.78953489,0.78953489,0.983830724,0.983830724,0.029340697,0.102255639,0.065798168,0.28693476,0.28693476,0.927085058,0.927085058,0.039716312,0.104544326,0.072130319,None,None,1,None,None,1,0.609865471,0.501754386,0.555809928,1.215466148,1.215466148,1.108111085,1.108111085,0.666666667,0.482464455,0.574565561,1.381794368,1.381794368,1.184202212,1.184202212,0.628113879,0.477588872,0.552851375,None,None,1,None,None,1,0.112765957,0.187969925,0.150367941,0.599914894,0.599914894,0.924796033,0.924796033,0.065653495,0.231781227,0.148717361,0.283256312,0.283256312,0.833872269,0.833872269,0.085392709,0.240449062,0.162920885,None,None,1,None,None,1,0.547169811,0.699076923,0.623123367,0.782703295,0.782703295,0.848092888,0.848092888,0.606481481,0.696428571,0.651455026,0.870845204,0.870845204,0.91005291,0.91005291,0.598853868,0.706620209,0.652737039,None,None,1,None,None,1,0.10871303,0.162962963,0.135837996,0.667102681,0.667102681,0.945750067,0.945750067,0.085230969,0.19588224,0.140556605,0.435113309,0.435113309,0.88934873,0.88934873,0.094435527,0.204500331,0.149467929,None,None,1,None,None,1
GP,s_as_input=False,4,0.811437096,0.468238114,0.925185381,0.696711748,0.449999821,0.596465997,0.596465997,0.926108233,0.84893617,0.805320995,0.827128583,1.054158746,1.054158746,1.043615175,1.043615175,0.903828198,0.768050278,0.835939238,1.176782594,1.176782594,1.13577792,1.13577792,0.882440847,0.764238411,0.823339629,None,None,1,None,None,1,0.367713004,0.478070175,0.42289159,0.769161147,0.769161147,0.889642829,0.889642829,0.345345345,0.487096774,0.41622106,0.708987133,0.708987133,0.858248571,0.858248571,0.359223301,0.496478873,0.427851087,None,None,1,None,None,1,0.939342881,0.922545169,0.930944025,1.018208011,1.018208011,1.016797712,1.016797712,0.968402778,0.898544521,0.933473649,1.077746017,1.077746017,1.069858257,1.069858257,0.959428571,0.895607108,0.92751784,None,None,1,None,None,1,0.060657119,0.077454831,0.069055975,0.783128927,0.783128927,0.983202288,0.983202288,0.031597222,0.101455479,0.066526351,0.311439287,0.311439287,0.930141743,0.930141743,0.040571429,0.104392892,0.07248216,None,None,1,None,None,1,0.632286996,0.521929825,0.57710841,1.21144063,1.21144063,1.110357171,1.110357171,0.654654655,0.512903226,0.58377894,1.27637071,1.27637071,1.141751429,1.141751429,0.640776699,0.503521127,0.572148913,None,None,1,None,None,1,0.109219858,0.183111625,0.146165742,0.596465997,0.596465997,0.926108233,0.926108233,0.064114535,0.223764981,0.143939758,0.286526222,0.286526222,0.840349554,0.840349554,0.081444583,0.233443709,0.157444146,None,None,1,None,None,1,0.532467532,0.688566014,0.610516773,0.773299178,0.773299178,0.843901519,0.843901519,0.558252427,0.690398432,0.62432543,0.808594575,0.808594575,0.867853995,0.867853995,0.565749235,0.7,0.632874618,None,None,1,None,None,1,0.112261146,0.168507505,0.140384326,0.666208585,0.666208585,0.943753642,0.943753642,0.072497506,0.209565054,0.14103128,0.345942725,0.345942725,0.862932452,0.862932452,0.089479393,0.216198704,0.152839048,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,0,0.805967181,0.442668797,0.926377119,0.684522958,0.4293963,1.01328049,1.01328049,1.0021937,0.807801418,0.805668016,0.806734717,1.002647992,1.002647992,1.002133402,1.002133402,0.884555865,0.768757327,0.826656596,1.150630809,1.150630809,1.115798538,1.115798538,0.858843959,0.770584329,0.814714144,None,None,1,None,None,1,0.421524664,0.444736842,0.433130753,0.947806936,0.947806936,0.976787822,0.976787822,0.294117647,0.467381174,0.380749411,0.629288605,0.629288605,0.826736473,0.826736473,0.333962264,0.471870248,0.402916256,None,None,1,None,None,1,0.880370682,0.934956795,0.907663739,0.941616433,0.941616433,0.945413887,0.945413887,0.957898399,0.907011543,0.932454971,1.056103868,1.056103868,1.050886856,1.050886856,0.938303342,0.916070106,0.927186724,None,None,1,None,None,1,0.119629318,0.065043205,0.092336261,1.839228518,1.839228518,1.054586113,1.054586113,0.042101601,0.092988457,0.067545029,0.45276158,0.45276158,0.949113144,0.949113144,0.061696658,0.083929894,0.072813276,None,None,1,None,None,1,0.578475336,0.555263158,0.566869247,1.041803923,1.041803923,1.023212178,1.023212178,0.705882353,0.532618826,0.619250589,1.325304925,1.325304925,1.173263527,1.173263527,0.666037736,0.528129752,0.597083744,None,None,1,None,None,1,0.167375887,0.165182186,0.166279036,1.01328049,1.01328049,1.0021937,1.0021937,0.069947385,0.210726846,0.140337116,0.331933904,0.331933904,0.859220538,0.859220538,0.097494418,0.210989376,0.154241897,None,None,1,None,None,1,0.398305085,0.710084034,0.554194559,0.560926687,0.560926687,0.688221051,0.688221051,0.46460177,0.697496523,0.581049146,0.666099048,0.666099048,0.767105247,0.767105247,0.450381679,0.732494099,0.591437889,None,None,1,None,None,1,0.10988075,0.175419149,0.142649949,0.626389707,0.626389707,0.9344616,0.9344616,0.083860233,0.212216859,0.148038546,0.395162917,0.395162917,0.871643374,0.871643374,0.097031336,0.21922996,0.158130648,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,1,0.803381402,0.443068318,0.922801907,0.682935112,0.422870369,1.028214616,1.028214616,1.004729089,0.821276596,0.800462695,0.810869645,1.026002337,1.026002337,1.020813901,1.020813901,0.881402439,0.765608856,0.823505648,1.151243787,1.151243787,1.115793583,1.115793583,0.862340216,0.763320528,0.812830372,None,None,1,None,None,1,0.479820628,0.439473684,0.459647156,1.091807417,1.091807417,1.040346944,1.040346944,0.309782609,0.466042155,0.387912382,0.664709417,0.664709417,0.843740454,0.843740454,0.373848987,0.462244898,0.418046943,None,None,1,None,None,1,0.885425442,0.929772192,0.907598817,0.95230364,0.95230364,0.955653251,0.955653251,0.95364011,0.903448276,0.928544193,1.055555847,1.055555847,1.050191834,1.050191834,0.937588652,0.909858455,0.923723554,None,None,1,None,None,1,0.114574558,0.070227808,0.092401183,1.631469932,1.631469932,1.044346749,1.044346749,0.04635989,0.096551724,0.071455807,0.480156005,0.480156005,0.949808166,0.949808166,0.062411348,0.090141545,0.076276446,None,None,1,None,None,1,0.520179372,0.560526316,0.540352844,0.928019537,0.928019537,0.959653056,0.959653056,0.690217391,0.533957845,0.612087618,1.292643974,1.292643974,1.156259546,1.156259546,0.626151013,0.537755102,0.581953057,None,None,1,None,None,1,0.172340426,0.167611336,0.169975881,1.028214616,1.028214616,1.004729089,1.004729089,0.075914634,0.21298893,0.144451782,0.356425257,0.356425257,0.862925704,0.862925704,0.103982301,0.211959245,0.157970773,None,None,1,None,None,1,0.440329218,0.691511387,0.565920303,0.63676351,0.63676351,0.748817831,0.748817831,0.457831325,0.68953569,0.573683507,0.663970455,0.663970455,0.768295636,0.768295636,0.479905437,0.713947991,0.596926714,None,None,1,None,None,1,0.099400171,0.177598666,0.138499419,0.559689854,0.559689854,0.921801505,0.921801505,0.083800726,0.213803451,0.148802088,0.391952167,0.391952167,0.869997275,0.869997275,0.093278464,0.223399746,0.158339105,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,2,0.805271009,0.446664003,0.924126059,0.685395031,0.428657756,0.994477346,0.994477346,0.999070508,0.819148936,0.803007519,0.811078227,1.020101203,1.020101203,1.016141417,1.016141417,0.884509624,0.767030375,0.825769999,1.153161144,1.153161144,1.11747925,1.11747925,0.864252279,0.765343562,0.814797921,None,None,1,None,None,1,0.457399103,0.445614035,0.451506569,1.026446806,1.026446806,1.011785068,1.011785068,0.288,0.47462406,0.38131203,0.60679604,0.60679604,0.81337594,0.81337594,0.35359116,0.47244898,0.41302007,None,None,1,None,None,1,0.887110362,0.931029065,0.909069714,0.952827785,0.952827785,0.956081297,0.956081297,0.961697723,0.900730554,0.931214138,1.067686355,1.067686355,1.060967168,1.060967168,0.943117179,0.907581764,0.925349471,None,None,1,None,None,1,0.112889638,0.068970935,0.090930286,1.636771171,1.636771171,1.043918703,1.043918703,0.038302277,0.099269446,0.068785862,0.385841557,0.385841557,0.939032832,0.939032832,0.056882821,0.092418236,0.074650529,None,None,1,None,None,1,0.542600897,0.554385965,0.548493431,0.978742124,0.978742124,0.988214932,0.988214932,0.712,0.52537594,0.61868797,1.355220036,1.355220036,1.18662406,1.18662406,0.64640884,0.52755102,0.58697993,None,None,1,None,None,1,0.167375887,0.168305379,0.167840633,0.994477346,0.994477346,0.999070508,0.999070508,0.066911091,0.217045119,0.141978105,0.308281941,0.308281941,0.849865971,0.849865971,0.096575511,0.21664443,0.15660997,None,None,1,None,None,1,0.43220339,0.698281787,0.565242588,0.618952689,0.618952689,0.733921603,0.733921603,0.493150685,0.686141304,0.589645995,0.718730503,0.718730503,0.807009381,0.807009381,0.489795918,0.712856043,0.601325981,None,None,1,None,None,1,0.10306644,0.175799722,0.139433081,0.586271915,0.586271915,0.927266718,0.927266718,0.087426326,0.210546139,0.148986233,0.41523595,0.41523595,0.876880187,0.876880187,0.095718571,0.220140515,0.157929543,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,3,0.808851318,0.463044347,0.923463983,0.693254165,0.442090219,1.021181335,1.021181335,1.003648237,0.820567376,0.806940428,0.813753902,1.01688718,1.01688718,1.013626948,1.013626948,0.882674772,0.772949002,0.827811887,1.141957321,1.141957321,1.10972577,1.10972577,0.863469538,0.771447721,0.817458629,None,None,1,None,None,1,0.488789238,0.460526316,0.474657777,1.061370916,1.061370916,1.028262922,1.028262922,0.335877863,0.486729858,0.41130386,0.69007039,0.69007039,0.849148005,0.849148005,0.387900356,0.484801649,0.436351002,None,None,1,None,None,1,0.882898062,0.931029065,0.906963564,0.948303437,0.948303437,0.951868997,0.951868997,0.956851916,0.902685285,0.9297686,1.060006109,1.060006109,1.054166631,1.054166631,0.93929078,0.909610132,0.924450456,None,None,1,None,None,1,0.117101938,0.068970935,0.093036436,1.697844723,1.697844723,1.048131003,1.048131003,0.043148084,0.097314715,0.0702314,0.443387047,0.443387047,0.945833369,0.945833369,0.06070922,0.090389868,0.075549544,None,None,1,None,None,1,0.511210762,0.539473684,0.525342223,0.947610194,0.947610194,0.971737078,0.971737078,0.664122137,0.513270142,0.58869614,1.293903703,1.293903703,1.150851995,1.150851995,0.612099644,0.515198351,0.563648998,None,None,1,None,None,1,0.175886525,0.172238288,0.174062406,1.021181335,1.021181335,1.003648237,1.003648237,0.078115502,0.218773097,0.148444299,0.357061735,0.357061735,0.859342405,0.859342405,0.105701003,0.21866622,0.162183612,None,None,1,None,None,1,0.439516129,0.705171256,0.572343692,0.62327573,0.62327573,0.734344873,0.734344873,0.513618677,0.693918919,0.603768798,0.740171024,0.740171024,0.819699758,0.819699758,0.50462963,0.721072797,0.612851213,None,None,1,None,None,1,0.098106713,0.171883734,0.134995223,0.570773687,0.570773687,0.926222979,0.926222979,0.086053412,0.204919584,0.145486498,0.419937474,0.419937474,0.881133829,0.881133829,0.094117647,0.214454214,0.154285931,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,4,0.799900547,0.433879345,0.921212924,0.677546134,0.411483378,0.923247945,0.923247945,0.987028947,0.821985816,0.796298438,0.809142127,1.03225848,1.03225848,1.025687377,1.025687377,0.89729225,0.754165449,0.825728849,1.189781701,1.189781701,1.143126802,1.143126802,0.871980075,0.751986755,0.811983415,None,None,1,None,None,1,0.430493274,0.434210526,0.4323519,0.991439054,0.991439054,0.996282747,0.996282747,0.342342342,0.447926267,0.395134305,0.764282801,0.764282801,0.894416075,0.894416075,0.376699029,0.448692153,0.412695591,None,None,1,None,None,1,0.895534962,0.926001571,0.910768267,0.96709875,0.96709875,0.969533391,0.969533391,0.961458333,0.89640411,0.928931221,1.072572429,1.072572429,1.065054224,1.065054224,0.944857143,0.900789733,0.922823438,None,None,1,None,None,1,0.104465038,0.073998429,0.089231733,1.411719674,1.411719674,1.030466609,1.030466609,0.038541667,0.10359589,0.071068779,0.372038567,0.372038567,0.934945776,0.934945776,0.055142857,0.099210267,0.077176562,None,None,1,None,None,1,0.569506726,0.565789474,0.5676481,1.006570028,1.006570028,1.003717253,1.003717253,0.657657658,0.552073733,0.604865695,1.19124968,1.19124968,1.105583925,1.105583925,0.623300971,0.551307847,0.587304409,None,None,1,None,None,1,0.156028369,0.168999422,0.162513895,0.923247945,0.923247945,0.987028947,0.987028947,0.070028011,0.212803274,0.141415643,0.329073937,0.329073937,0.857224737,0.857224737,0.096388543,0.214238411,0.155313477,None,None,1,None,None,1,0.436363636,0.67761807,0.556990853,0.643966942,0.643966942,0.758745567,0.758745567,0.506666667,0.667582418,0.587124542,0.758957476,0.758957476,0.839084249,0.839084249,0.50129199,0.689335394,0.595313692,None,None,1,None,None,1,0.106722689,0.179565702,0.143144195,0.594337828,0.594337828,0.927156988,0.927156988,0.073293173,0.222428518,0.147860846,0.329513379,0.329513379,0.850864654,0.850864654,0.088478501,0.230931311,0.159704906,None,None,1,None,None,1
FairGPdemo*A,s_as_input=True,0,0.815713575,0.469037155,0.930614407,0.699825781,0.461263284,0.682136757,0.682136757,0.94381781,0.84751773,0.810526316,0.829022023,1.045638758,1.045638758,1.036991415,1.036991415,0.897864438,0.776817116,0.837340777,1.155824736,1.155824736,1.121047322,1.121047322,0.878193997,0.773904382,0.826049189,None,None,1,None,None,1,0.399103139,0.475877193,0.437490166,0.838668347,0.838668347,0.923225946,0.923225946,0.341736695,0.490214352,0.415975523,0.69711687,0.69711687,0.851522342,0.851522342,0.362264151,0.497719209,0.42999168,None,None,1,None,None,1,0.931760741,0.930400628,0.931080685,1.001461857,1.001461857,1.001360113,1.001360113,0.966945024,0.908294143,0.937619584,1.064572564,1.064572564,1.058650882,1.058650882,0.956298201,0.908417675,0.932357938,None,None,1,None,None,1,0.068239259,0.069599372,0.068919315,0.980457971,0.980457971,0.998639887,0.998639887,0.033054976,0.091705857,0.062380416,0.360445632,0.360445632,0.941349118,0.941349118,0.043701799,0.091582325,0.067642062,None,None,1,None,None,1,0.600896861,0.524122807,0.562509834,1.14648104,1.14648104,1.076774054,1.076774054,0.658263305,0.509785648,0.584024477,1.291255076,1.291255076,1.148477658,1.148477658,0.637735849,0.502280791,0.57000832,None,None,1,None,None,1,0.120567376,0.176749566,0.148658471,0.682136757,0.682136757,0.94381781,0.94381781,0.067161869,0.217028136,0.142095003,0.309461578,0.309461578,0.850133733,0.850133733,0.085586703,0.224601594,0.155094148,None,None,1,None,None,1,0.523529412,0.710078534,0.616803973,0.737283817,0.737283817,0.813450878,0.813450878,0.562211982,0.710330858,0.63627142,0.791479035,0.791479035,0.851881124,0.851881124,0.556521739,0.725794531,0.641158135,None,None,1,None,None,1,0.108064516,0.167907826,0.137986171,0.643594277,0.643594277,0.94015669,0.94015669,0.077969476,0.204753884,0.14136168,0.380796078,0.380796078,0.873215592,0.873215592,0.091698318,0.212160137,0.151929227,None,None,1,None,None,1
