algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race-sex,1-accuracy-race-sex,race-sex-accuracy,0-accuracy-race-sex_over_1-1-accuracy-race-sex,1-accuracy-race-sex_over_1-1-accuracy-race-sex,race-sex-accuracyRatio,diff:1-1-accuracy-race-sexto0-accuracy-race-sex,diff:1-1-accuracy-race-sexto1-accuracy-race-sex,race-sex-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race-sex,1-TPR-race-sex,race-sex-TPR,0-TPR-race-sex_over_1-1-TPR-race-sex,1-TPR-race-sex_over_1-1-TPR-race-sex,race-sex-TPRRatio,diff:1-1-TPR-race-sexto0-TPR-race-sex,diff:1-1-TPR-race-sexto1-TPR-race-sex,race-sex-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race-sex,1-TNR-race-sex,race-sex-TNR,0-TNR-race-sex_over_1-1-TNR-race-sex,1-TNR-race-sex_over_1-1-TNR-race-sex,race-sex-TNRRatio,diff:1-1-TNR-race-sexto0-TNR-race-sex,diff:1-1-TNR-race-sexto1-TNR-race-sex,race-sex-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race-sex,1-FPR-race-sex,race-sex-FPR,0-FPR-race-sex_over_1-1-FPR-race-sex,1-FPR-race-sex_over_1-1-FPR-race-sex,race-sex-FPRRatio,diff:1-1-FPR-race-sexto0-FPR-race-sex,diff:1-1-FPR-race-sexto1-FPR-race-sex,race-sex-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race-sex,1-FNR-race-sex,race-sex-FNR,0-FNR-race-sex_over_1-1-FNR-race-sex,1-FNR-race-sex_over_1-1-FNR-race-sex,race-sex-FNRRatio,diff:1-1-FNR-race-sexto0-FNR-race-sex,diff:1-1-FNR-race-sexto1-FNR-race-sex,race-sex-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race-sex,1-PR-race-sex,race-sex-PR,0-PR-race-sex_over_1-1-PR-race-sex,1-PR-race-sex_over_1-1-PR-race-sex,race-sex-PRRatio,diff:1-1-PR-race-sexto0-PR-race-sex,diff:1-1-PR-race-sexto1-PR-race-sex,race-sex-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race-sex,1-calibration+-race-sex,race-sex-calibration+,0-calibration+-race-sex_over_1-1-calibration+-race-sex,1-calibration+-race-sex_over_1-1-calibration+-race-sex,race-sex-calibration+Ratio,diff:1-1-calibration+-race-sexto0-calibration+-race-sex,diff:1-1-calibration+-race-sexto1-calibration+-race-sex,race-sex-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race-sex,1-calibration--race-sex,race-sex-calibration-,0-calibration--race-sex_over_1-1-calibration--race-sex,1-calibration--race-sex_over_1-1-calibration--race-sex,race-sex-calibration-Ratio,diff:1-1-calibration--race-sexto0-calibration--race-sex,diff:1-1-calibration--race-sexto1-calibration--race-sex,race-sex-calibration-Diff
GP,s_as_input=False,0,0.813923421,0.487415102,0.922139831,0.704777466,0.461133173,0.279704981,0.279704981,0.83100526,0.853916725,0.807362815,0.83063977,1.057661697,1.057661697,1.04655391,1.04655391,0.88991107,0.777450692,0.833680881,1.144652747,1.144652747,1.112460378,1.112460378,0.875431672,0.772371271,0.823901472,None,None,1,None,None,1,0.400943396,0.495416849,0.448180122,0.809305128,0.809305128,0.905526548,0.905526548,0.30458221,0.519230769,0.41190649,0.586602775,0.586602775,0.785351441,0.785351441,0.346938776,0.525967413,0.436453094,None,None,1,None,None,1,0.933609959,0.919962187,0.926786073,1.014835144,1.014835144,1.013647772,1.013647772,0.965051903,0.895538396,0.930295149,1.077622029,1.077622029,1.069513508,1.069513508,0.956472262,0.892246718,0.92435949,None,None,1,None,None,1,0.066390041,0.080037813,0.073213927,0.829483451,0.829483451,0.986352228,0.986352228,0.034948097,0.104461604,0.069704851,0.334554472,0.334554472,0.930486492,0.930486492,0.043527738,0.107753282,0.07564051,None,None,1,None,None,1,0.599056604,0.504583151,0.551819878,1.187230691,1.187230691,1.094473452,1.094473452,0.69541779,0.480769231,0.58809351,1.446469003,1.446469003,1.214648559,1.214648559,0.653061224,0.474032587,0.563546906,None,None,1,None,None,1,0.11644319,0.190206066,0.153324628,0.612194932,0.612194932,0.926237124,0.926237124,0.065624042,0.234618781,0.150121411,0.279704981,0.279704981,0.83100526,0.83100526,0.083867785,0.244625896,0.16424684,None,None,1,None,None,1,0.515151515,0.690809495,0.602980505,0.745721533,0.745721533,0.82434202,0.82434202,0.528037383,0.694479297,0.61125834,0.760335672,0.760335672,0.833558086,0.833558086,0.55,0.703678474,0.626839237,None,None,1,None,None,1,0.1014377,0.165260901,0.1333493,0.613803382,0.613803382,0.936176799,0.936176799,0.084673449,0.197115385,0.140894417,0.429562865,0.429562865,0.887558065,0.887558065,0.094776521,0.205382749,0.150079635,None,None,1,None,None,1
GP,s_as_input=False,1,0.818299354,0.492608869,0.926244703,0.709426786,0.473451716,0.291942802,0.291942802,0.836377716,0.857934858,0.811658151,0.834796505,1.057015021,1.057015021,1.046276707,1.046276707,0.902790555,0.777745069,0.840267812,1.160779529,1.160779529,1.125045486,1.125045486,0.886240786,0.772096909,0.829168848,None,None,1,None,None,1,0.429787234,0.499118166,0.4644527,0.861093151,0.861093151,0.930669068,0.930669068,0.369272237,0.514071295,0.441671766,0.718328841,0.718328841,0.855200943,0.855200943,0.404676259,0.517719569,0.461197914,None,None,1,None,None,1,0.941225166,0.923392182,0.932308674,1.01931247,1.01931247,1.017832984,1.017832984,0.971280277,0.898326898,0.934803588,1.081210279,1.081210279,1.072953378,1.072953378,0.96243597,0.894749876,0.928592923,None,None,1,None,None,1,0.058774834,0.076607818,0.067691326,0.76721718,0.76721718,0.982167016,0.982167016,0.028719723,0.101673102,0.065196412,0.282471201,0.282471201,0.927046622,0.927046622,0.03756403,0.105250124,0.071407077,None,None,1,None,None,1,0.570212766,0.500881834,0.5355473,1.13841774,1.13841774,1.069330932,1.069330932,0.630727763,0.485928705,0.558328234,1.297984161,1.297984161,1.144799057,1.144799057,0.595323741,0.482280431,0.538802086,None,None,1,None,None,1,0.119196119,0.18787738,0.15353675,0.63443571,0.63443571,0.931318739,0.931318739,0.067463968,0.231086253,0.14927511,0.291942802,0.291942802,0.836377716,0.836377716,0.087714988,0.239431913,0.16357345,None,None,1,None,None,1,0.587209302,0.699629172,0.643419237,0.839315063,0.839315063,0.887580131,0.887580131,0.622727273,0.698089172,0.660408222,0.892045455,0.892045455,0.924638101,0.924638101,0.630252101,0.7034194,0.66683575,None,None,1,None,None,1,0.105428796,0.162424936,0.133926866,0.64909243,0.64909243,0.943003861,0.943003861,0.076948372,0.198315467,0.13763192,0.388009939,0.388009939,0.878632905,0.878632905,0.089146243,0.206282953,0.147714598,None,None,1,None,None,1
GP,s_as_input=False,2,0.81123819,0.483819417,0.919756356,0.701787886,0.453521776,0.270791473,0.270791473,0.827411347,0.844522968,0.805787037,0.825155003,1.04807217,1.04807217,1.038735931,1.038735931,0.894510886,0.771268767,0.832889826,1.159791405,1.159791405,1.12324212,1.12324212,0.874845717,0.768321119,0.821583418,None,None,1,None,None,1,0.350961538,0.495860566,0.423411052,0.707782716,0.707782716,0.855100972,0.855100972,0.318059299,0.512664165,0.415361732,0.620404781,0.620404781,0.805395134,0.805395134,0.337662338,0.523930754,0.430796546,None,None,1,None,None,1,0.929577465,0.917888101,0.923732783,1.012735064,1.012735064,1.011689364,1.011689364,0.968512111,0.88953239,0.92902225,1.088787909,1.088787909,1.078979721,1.078979721,0.957289294,0.887128713,0.922209003,None,None,1,None,None,1,0.070422535,0.082111899,0.076267217,0.857641048,0.857641048,0.988310636,0.988310636,0.031487889,0.11046761,0.07097775,0.285041825,0.285041825,0.921020279,0.921020279,0.042710706,0.112871287,0.077790997,None,None,1,None,None,1,0.649038462,0.504139434,0.576588948,1.287418556,1.287418556,1.144899028,1.144899028,0.681940701,0.487335835,0.584638268,1.39932394,1.39932394,1.194604866,1.194604866,0.662337662,0.476069246,0.569203454,None,None,1,None,None,1,0.111660777,0.192013889,0.151837333,0.581524483,0.581524483,0.919646888,0.919646888,0.06409077,0.236679423,0.150385096,0.270791473,0.270791473,0.827411347,0.827411347,0.081955073,0.24733511,0.164645091,None,None,1,None,None,1,0.462025316,0.685955395,0.573990356,0.673550088,0.673550088,0.776069922,0.776069922,0.564593301,0.679726368,0.622159835,0.830618508,0.830618508,0.884866933,0.884866933,0.548192771,0.692929293,0.620561032,None,None,1,None,None,1,0.107398568,0.165735568,0.136567068,0.648011585,0.648011585,0.941663,0.941663,0.082896461,0.200347088,0.141621775,0.413764243,0.413764243,0.882549373,0.882549373,0.095993547,0.206904182,0.151448864,None,None,1,None,None,1
GP,s_as_input=False,3,0.810740925,0.478226129,0.920948093,0.699587111,0.450812939,0.279192743,0.279192743,0.832158216,0.853466762,0.80383549,0.828651126,1.061743072,1.061743072,1.049631272,1.049631272,0.890524379,0.772446276,0.831485328,1.152862544,1.152862544,1.118078103,1.118078103,0.874442793,0.767990693,0.821216743,None,None,1,None,None,1,0.437810945,0.481754996,0.45978297,0.908783405,0.908783405,0.95605595,0.95605595,0.30458221,0.508442777,0.406512493,0.599049144,0.599049144,0.796139434,0.796139434,0.357142857,0.510908168,0.434025513,None,None,1,None,None,1,0.923205342,0.920522506,0.921863924,1.002914472,1.002914472,1.002682837,1.002682837,0.965743945,0.893178893,0.929461419,1.081243581,1.081243581,1.072565051,1.072565051,0.952937821,0.893227879,0.92308285,None,None,1,None,None,1,0.076794658,0.079477494,0.078136076,0.96624407,0.96624407,0.997317163,0.997317163,0.034256055,0.106821107,0.070538581,0.320686205,0.320686205,0.927434949,0.927434949,0.047062179,0.106772121,0.07691715,None,None,1,None,None,1,0.562189055,0.518245004,0.54021703,1.084793968,1.084793968,1.04394405,1.04394405,0.69541779,0.491557223,0.593487507,1.414723977,1.414723977,1.203860566,1.203860566,0.642857143,0.489091832,0.565974487,None,None,1,None,None,1,0.128663331,0.186460259,0.157561795,0.690030851,0.690030851,0.942203072,0.942203072,0.065010733,0.232852517,0.148931625,0.279192743,0.279192743,0.832158216,0.832158216,0.087914809,0.239155725,0.163535267,None,None,1,None,None,1,0.488888889,0.687112763,0.588000826,0.711511873,0.711511873,0.801776126,0.801776126,0.533018868,0.685208597,0.609113732,0.77789285,0.77789285,0.847810271,0.847810271,0.535211268,0.699791522,0.617501395,None,None,1,None,None,1,0.092698934,0.169412099,0.131055516,0.547180126,0.547180126,0.923286835,0.923286835,0.084617908,0.201074444,0.142846176,0.420828754,0.420828754,0.883543464,0.883543464,0.092859082,0.210572302,0.151715692,None,None,1,None,None,1
GP,s_as_input=False,4,0.810939831,0.483819417,0.91935911,0.701589263,0.452784252,0.270287206,0.270287206,0.826969781,0.852941176,0.803987481,0.828464329,1.060888629,1.060888629,1.048953695,1.048953695,0.892057651,0.77200471,0.832031181,1.155508042,1.155508042,1.120052941,1.120052941,0.873671199,0.768718802,0.821195001,None,None,1,None,None,1,0.350961538,0.495860566,0.423411052,0.707782716,0.707782716,0.855100972,0.855100972,0.307277628,0.514540338,0.410908983,0.597188608,0.597188608,0.79273729,0.79273729,0.325884544,0.526958291,0.426421417,None,None,1,None,None,1,0.93852459,0.915666456,0.927095523,1.024963385,1.024963385,1.022858134,1.022858134,0.967128028,0.88974689,0.928437459,1.086969832,1.086969832,1.077381138,1.077381138,0.957525656,0.886251236,0.921888446,None,None,1,None,None,1,0.06147541,0.084333544,0.072904477,0.728955609,0.728955609,0.977141866,0.977141866,0.032871972,0.11025311,0.071562541,0.298150068,0.298150068,0.922618862,0.922618862,0.042474344,0.113748764,0.078111554,None,None,1,None,None,1,0.649038462,0.504139434,0.576588948,1.287418556,1.287418556,1.144899028,1.144899028,0.692722372,0.485459662,0.589091017,1.426941157,1.426941157,1.20726271,1.20726271,0.674115456,0.473041709,0.573578583,None,None,1,None,None,1,0.103641457,0.193810131,0.148725794,0.534757683,0.534757683,0.909831326,0.909831326,0.06409077,0.237120989,0.150605879,0.270287206,0.270287206,0.826969781,0.826969781,0.080098888,0.248918469,0.164508678,None,None,1,None,None,1,0.493243243,0.68062201,0.586932626,0.724694818,0.724694818,0.812621234,0.812621234,0.545454545,0.680943513,0.613199029,0.801027596,0.801027596,0.864511032,0.864511032,0.540123457,0.692513369,0.616318413,None,None,1,None,None,1,0.10546875,0.16635514,0.135911945,0.633997542,0.633997542,0.93911361,0.93911361,0.084207077,0.199691298,0.141949188,0.421686263,0.421686263,0.884515779,0.884515779,0.097285676,0.206025698,0.151655687,None,None,1,None,None,1
FairGPopp*A,s_as_input=True,0,0.805072103,0.466640032,0.917240466,0.691940249,0.433635396,0.302001321,0.302001321,0.839113051,0.846153846,0.798332947,0.822243397,1.059900946,1.059900946,1.047820899,1.047820899,0.893284269,0.762731822,0.828008045,1.171164284,1.171164284,1.130552446,1.130552446,0.873704983,0.758706882,0.816205932,None,None,1,None,None,1,0.358490566,0.476647752,0.417569159,0.752107955,0.752107955,0.881842814,0.881842814,0.336927224,0.489212008,0.413069616,0.688714133,0.688714133,0.847715216,0.847715216,0.348794063,0.49898167,0.423887867,None,None,1,None,None,1,0.931950207,0.914447771,0.923198989,1.019139898,1.019139898,1.017502437,1.017502437,0.964705882,0.887816388,0.926261135,1.086605176,1.086605176,1.076889495,1.076889495,0.954196302,0.885063166,0.919629734,None,None,1,None,None,1,0.068049793,0.085552229,0.076801011,0.795418109,0.795418109,0.982497563,0.982497563,0.035294118,0.112183612,0.073738865,0.31461028,0.31461028,0.923110505,0.923110505,0.045803698,0.114936834,0.080370266,None,None,1,None,None,1,0.641509434,0.523352248,0.582430841,1.225769903,1.225769903,1.118157186,1.118157186,0.663072776,0.510787992,0.586930384,1.298136969,1.298136969,1.152284784,1.152284784,0.651205937,0.50101833,0.576112133,None,None,1,None,None,1,0.111503176,0.189279926,0.150391551,0.589091396,0.589091396,0.92222325,0.92222325,0.069610549,0.230497498,0.150054023,0.302001321,0.302001321,0.839113051,0.839113051,0.086087815,0.240626562,0.163357188,None,None,1,None,None,1,0.481012658,0.667889908,0.574451283,0.720197524,0.720197524,0.81312275,0.81312275,0.550660793,0.666028097,0.608344445,0.826783127,0.826783127,0.884632696,0.884632696,0.538681948,0.67867036,0.608676154,None,None,1,None,None,1,0.10802224,0.171212338,0.139617289,0.630925559,0.630925559,0.936809902,0.936809902,0.081081081,0.208301454,0.144691267,0.389248753,0.389248753,0.872779627,0.872779627,0.094736842,0.215931534,0.155334188,None,None,1,None,None,1
FairGPopp*A,s_as_input=True,1,0.810641472,0.492608869,0.916048729,0.704328799,0.454422595,0.314695098,0.314695098,0.836390263,0.845460845,0.804807246,0.825134046,1.050513461,1.050513461,1.0406536,1.0406536,0.893897577,0.770680012,0.832288795,1.159881616,1.159881616,1.123217566,1.123217566,0.874447174,0.767251462,0.820849318,None,None,1,None,None,1,0.408510638,0.501322751,0.454916695,0.814865548,0.814865548,0.907187887,0.907187887,0.363881402,0.515009381,0.439445391,0.706552958,0.706552958,0.848872021,0.848872021,0.388489209,0.522342065,0.455415637,None,None,1,None,None,1,0.930463576,0.913303909,0.921883743,1.018788562,1.018788562,1.017159667,1.017159667,0.961937716,0.887601888,0.924769802,1.083749066,1.083749066,1.074335829,1.074335829,0.951337507,0.885339277,0.918338392,None,None,1,None,None,1,0.069536424,0.086696091,0.078116257,0.802071042,0.802071042,0.982840333,0.982840333,0.038062284,0.112398112,0.075230198,0.338638105,0.338638105,0.925664171,0.925664171,0.048662493,0.114660723,0.081661608,None,None,1,None,None,1,0.591489362,0.498677249,0.545083305,1.186116598,1.186116598,1.092812113,1.092812113,0.636118598,0.484990619,0.560554609,1.311610108,1.311610108,1.151127979,1.151127979,0.611510791,0.477657935,0.544584363,None,None,1,None,None,1,0.124740125,0.195889457,0.160314791,0.636788355,0.636788355,0.928850668,0.928850668,0.075130328,0.238740065,0.156935196,0.314695098,0.314695098,0.836390263,0.836390263,0.095085995,0.247284879,0.171185437,None,None,1,None,None,1,0.533333333,0.673977475,0.603655404,0.791322193,0.791322193,0.859355859,0.859355859,0.551020408,0.676942047,0.613981228,0.81398461,0.81398461,0.874078361,0.874078361,0.558139535,0.687162162,0.622650849,None,None,1,None,None,1,0.110055424,0.1633213,0.136688362,0.673858363,0.673858363,0.946734124,0.946734124,0.078249337,0.19992266,0.139085999,0.391398037,0.391398037,0.878326676,0.878326676,0.092316047,0.206437292,0.149376669,None,None,1,None,None,1
FairGPopp*A,s_as_input=True,2,0.808155147,0.47942469,0.917108051,0.698266371,0.444750608,0.294281662,0.294281662,0.833801981,0.849469965,0.801388889,0.825429427,1.059997183,1.059997183,1.048081076,1.048081076,0.896044158,0.765969974,0.831007066,1.169816297,1.169816297,1.130074185,1.130074185,0.874352012,0.763491006,0.818921509,None,None,1,None,None,1,0.413461538,0.48540305,0.449432294,0.851790153,0.851790153,0.928058488,0.928058488,0.347708895,0.502345216,0.425027055,0.692171208,0.692171208,0.845363679,0.845363679,0.365491651,0.510692464,0.438092058,None,None,1,None,None,1,0.924606462,0.915681639,0.920144051,1.009746644,1.009746644,1.008924823,1.008924823,0.966435986,0.886529387,0.926482686,1.09013418,1.09013418,1.0799066,1.0799066,0.952448747,0.886386139,0.919417443,None,None,1,None,None,1,0.075393538,0.084318361,0.079855949,0.894153265,0.894153265,0.991075177,0.991075177,0.033564014,0.113470613,0.073517314,0.295794768,0.295794768,0.9200934,0.9200934,0.047551253,0.113613861,0.080582557,None,None,1,None,None,1,0.586538462,0.51459695,0.550567706,1.139801667,1.139801667,1.071941512,1.071941512,0.652291105,0.497654784,0.574972945,1.3107301,1.3107301,1.154636321,1.154636321,0.634508349,0.489307536,0.561907942,None,None,1,None,None,1,0.125088339,0.190856481,0.15797241,0.655405246,0.655405246,0.934231858,0.934231858,0.069303895,0.235501913,0.152402904,0.294281662,0.294281662,0.833801981,0.833801981,0.089854357,0.24350433,0.166679344,None,None,1,None,None,1,0.485875706,0.675560946,0.580718326,0.719218168,0.719218168,0.81031476,0.81031476,0.57079646,0.669375,0.62008573,0.852730473,0.852730473,0.90142146,0.90142146,0.541208791,0.686046512,0.613627651,None,None,1,None,None,1,0.098546042,0.168931483,0.133738763,0.583349178,0.583349178,0.929614559,0.929614559,0.079736409,0.204274162,0.142005286,0.390340157,0.390340157,0.875462246,0.875462246,0.09275834,0.211580801,0.152169571,None,None,1,None,None,1
FairGPopp*A,s_as_input=True,3,0.806862258,0.475029964,0.91684322,0.695936592,0.440370891,0.304953388,0.304953388,0.837849738,0.856325947,0.798867837,0.827596892,1.071924425,1.071924425,1.05745811,1.05745811,0.892977614,0.765528407,0.829253011,1.166485274,1.166485274,1.127449207,1.127449207,0.876423972,0.760179491,0.818301732,None,None,1,None,None,1,0.437810945,0.478279757,0.458045351,0.915386736,0.915386736,0.959531189,0.959531189,0.342318059,0.498123827,0.420220943,0.687214786,0.687214786,0.844194232,0.844194232,0.379699248,0.500761035,0.440230142,None,None,1,None,None,1,0.92654424,0.915014164,0.920779202,1.012600981,1.012600981,1.011530076,1.011530076,0.96366782,0.887816388,0.925742104,1.085435945,1.085435945,1.075851432,1.075851432,0.95179692,0.886554622,0.919175771,None,None,1,None,None,1,0.07345576,0.084985836,0.079220798,0.864329438,0.864329438,0.988469924,0.988469924,0.03633218,0.112183612,0.074257896,0.323863524,0.323863524,0.924148568,0.924148568,0.04820308,0.113445378,0.080824229,None,None,1,None,None,1,0.562189055,0.521720243,0.541954649,1.07756803,1.07756803,1.040468811,1.040468811,0.657681941,0.501876173,0.579779057,1.310446633,1.310446633,1.155805768,1.155805768,0.620300752,0.499238965,0.559769858,None,None,1,None,None,1,0.125804146,0.189579482,0.157691814,0.663595787,0.663595787,0.936224663,0.936224663,0.071143821,0.233294083,0.152218952,0.304953388,0.304953388,0.837849738,0.837849738,0.091877167,0.240319096,0.166098131,None,None,1,None,None,1,0.5,0.670932358,0.585466179,0.745231608,0.745231608,0.829067642,0.829067642,0.547413793,0.670031546,0.608722669,0.816997045,0.816997045,0.877382247,0.877382247,0.544474394,0.682572614,0.613523504,None,None,1,None,None,1,0.092395748,0.171204562,0.131800155,0.539680411,0.539680411,0.921191187,0.921191187,0.080554638,0.205413707,0.142984173,0.392158049,0.392158049,0.875140931,0.875140931,0.089991819,0.215270182,0.152631,None,None,1,None,None,1
FairGPopp*A,s_as_input=True,4,0.809448036,0.485417499,0.91684322,0.70113036,0.449554038,0.292657221,0.292657221,0.831753616,0.862044818,0.800741857,0.831393337,1.076557708,1.076557708,1.061302961,1.061302961,0.888991107,0.771268767,0.830129937,1.152634653,1.152634653,1.11772234,1.11772234,0.874907293,0.765391015,0.820149154,None,None,1,None,None,1,0.365384615,0.496296296,0.430840456,0.736222732,0.736222732,0.869088319,0.869088319,0.318059299,0.514540338,0.416299818,0.618142594,0.618142594,0.803518961,0.803518961,0.34264432,0.524415056,0.433529688,None,None,1,None,None,1,0.946721311,0.911086545,0.928903928,1.039112384,1.039112384,1.035634767,1.035634767,0.962283737,0.888674389,0.925479063,1.082830505,1.082830505,1.073609348,1.073609348,0.956385405,0.882542038,0.919463721,None,None,1,None,None,1,0.053278689,0.088913455,0.071096072,0.599219637,0.599219637,0.964365233,0.964365233,0.037716263,0.111325611,0.074520937,0.338792328,0.338792328,0.926390652,0.926390652,0.043614595,0.117457962,0.080536279,None,None,1,None,None,1,0.634615385,0.503703704,0.569159544,1.25989819,1.25989819,1.130911681,1.130911681,0.681940701,0.485459662,0.583700182,1.404731956,1.404731956,1.196481039,1.196481039,0.65735568,0.475584944,0.566470312,None,None,1,None,None,1,0.098739496,0.197287585,0.148013541,0.500485094,0.500485094,0.90145191,0.90145191,0.069610549,0.237856933,0.153733741,0.292657221,0.292657221,0.831753616,0.831753616,0.083312732,0.250582363,0.166947547,None,None,1,None,None,1,0.539007092,0.669212691,0.604109892,0.805434654,0.805434654,0.869794401,0.869794401,0.519823789,0.678836634,0.599330211,0.76575683,0.76575683,0.840987155,0.840987155,0.545994065,0.684594954,0.615294509,None,None,1,None,None,1,0.102564103,0.166931408,0.134747755,0.614408659,0.614408659,0.935632695,0.935632695,0.083388266,0.199884125,0.141636196,0.417183037,0.417183037,0.883504141,0.883504141,0.095199569,0.20759325,0.151396409,None,None,1,None,None,1
FairGPopp,s_as_input=False,0,0.805867727,0.483819417,0.912605932,0.698212674,0.440456606,0.297811814,0.297811814,0.830809235,0.848270995,0.798911785,0.82359139,1.061783054,1.061783054,1.04935921,1.04935921,0.893590923,0.763762143,0.828676533,1.16998588,1.16998588,1.12982878,1.12982878,0.874691663,0.759373438,0.81703255,None,None,1,None,None,1,0.386792453,0.492797905,0.439795179,0.78489062,0.78489062,0.893994548,0.893994548,0.347708895,0.50750469,0.427606793,0.685134347,0.685134347,0.840204204,0.840204204,0.365491651,0.516293279,0.440892465,None,None,1,None,None,1,0.929460581,0.909406019,0.9194333,1.022052375,1.022052375,1.020054562,1.020054562,0.96366782,0.880952381,0.922310101,1.093893201,1.093893201,1.082715439,1.082715439,0.952773826,0.877631905,0.915202866,None,None,1,None,None,1,0.070539419,0.090593981,0.0805667,0.778632509,0.778632509,0.979945438,0.979945438,0.03633218,0.119047619,0.077689899,0.305190311,0.305190311,0.917284561,0.917284561,0.047226174,0.122368095,0.084797134,None,None,1,None,None,1,0.613207547,0.507202095,0.560204821,1.209000422,1.209000422,1.106005452,1.106005452,0.652291105,0.49249531,0.572393207,1.324461558,1.324461558,1.159795796,1.159795796,0.634508349,0.483706721,0.559107535,None,None,1,None,None,1,0.117854622,0.197267886,0.157561254,0.597434406,0.597434406,0.920586736,0.920586736,0.07175713,0.240947895,0.156352512,0.297811814,0.297811814,0.830809235,0.830809235,0.089541194,0.251291451,0.170416323,None,None,1,None,None,1,0.491017964,0.662558685,0.576788325,0.741093544,0.741093544,0.828459279,0.828459279,0.551282051,0.66096518,0.606123616,0.834056116,0.834056116,0.890316871,0.890316871,0.542699725,0.672413793,0.607556759,None,None,1,None,None,1,0.104,0.16758004,0.13579002,0.620598967,0.620598967,0.93641996,0.93641996,0.079947142,0.203606748,0.141776945,0.392654679,0.392654679,0.876340394,0.876340394,0.092657816,0.211440018,0.152048917,None,None,1,None,None,1
