algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race-sex,1-accuracy-race-sex,race-sex-accuracy,0-accuracy-race-sex_over_1-1-accuracy-race-sex,1-accuracy-race-sex_over_1-1-accuracy-race-sex,race-sex-accuracyRatio,diff:1-1-accuracy-race-sexto0-accuracy-race-sex,diff:1-1-accuracy-race-sexto1-accuracy-race-sex,race-sex-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race-sex,1-TPR-race-sex,race-sex-TPR,0-TPR-race-sex_over_1-1-TPR-race-sex,1-TPR-race-sex_over_1-1-TPR-race-sex,race-sex-TPRRatio,diff:1-1-TPR-race-sexto0-TPR-race-sex,diff:1-1-TPR-race-sexto1-TPR-race-sex,race-sex-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race-sex,1-TNR-race-sex,race-sex-TNR,0-TNR-race-sex_over_1-1-TNR-race-sex,1-TNR-race-sex_over_1-1-TNR-race-sex,race-sex-TNRRatio,diff:1-1-TNR-race-sexto0-TNR-race-sex,diff:1-1-TNR-race-sexto1-TNR-race-sex,race-sex-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race-sex,1-FPR-race-sex,race-sex-FPR,0-FPR-race-sex_over_1-1-FPR-race-sex,1-FPR-race-sex_over_1-1-FPR-race-sex,race-sex-FPRRatio,diff:1-1-FPR-race-sexto0-FPR-race-sex,diff:1-1-FPR-race-sexto1-FPR-race-sex,race-sex-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race-sex,1-FNR-race-sex,race-sex-FNR,0-FNR-race-sex_over_1-1-FNR-race-sex,1-FNR-race-sex_over_1-1-FNR-race-sex,race-sex-FNRRatio,diff:1-1-FNR-race-sexto0-FNR-race-sex,diff:1-1-FNR-race-sexto1-FNR-race-sex,race-sex-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race-sex,1-PR-race-sex,race-sex-PR,0-PR-race-sex_over_1-1-PR-race-sex,1-PR-race-sex_over_1-1-PR-race-sex,race-sex-PRRatio,diff:1-1-PR-race-sexto0-PR-race-sex,diff:1-1-PR-race-sexto1-PR-race-sex,race-sex-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race-sex,1-calibration+-race-sex,race-sex-calibration+,0-calibration+-race-sex_over_1-1-calibration+-race-sex,1-calibration+-race-sex_over_1-1-calibration+-race-sex,race-sex-calibration+Ratio,diff:1-1-calibration+-race-sexto0-calibration+-race-sex,diff:1-1-calibration+-race-sexto1-calibration+-race-sex,race-sex-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race-sex,1-calibration--race-sex,race-sex-calibration-,0-calibration--race-sex_over_1-1-calibration--race-sex,1-calibration--race-sex_over_1-1-calibration--race-sex,race-sex-calibration-Ratio,diff:1-1-calibration--race-sexto0-calibration--race-sex,diff:1-1-calibration--race-sexto1-calibration--race-sex,race-sex-calibration-Diff
FairGPopp*TPR0.6,s_as_input=True,0,0.804574838,0.363164203,0.950873941,0.657019072,0.407394601,0.321247168,0.321247168,0.889205639,0.848330914,0.797625908,0.822978411,1.06356991,1.06356991,1.050705007,1.050705007,0.891444342,0.762879011,0.827161677,1.168526502,1.168526502,1.128565331,1.128565331,0.874782609,0.757711443,0.816247026,None,None,1,None,None,1,0.273542601,0.371929825,0.322736213,0.735468314,0.735468314,0.901612776,0.901612776,0.253369272,0.382270169,0.317819721,0.662801581,0.662801581,0.871099103,0.871099103,0.264925373,0.38993391,0.327429641,None,None,1,None,None,1,0.959307359,0.949351258,0.954329309,1.010487268,1.010487268,1.009956101,1.009956101,0.973356401,0.936936937,0.955146669,1.038870775,1.038870775,1.036419464,1.036419464,0.968472342,0.935761752,0.952117047,None,None,1,None,None,1,0.040692641,0.050648742,0.045670691,0.803428465,0.803428465,0.990043899,0.990043899,0.026643599,0.063063063,0.044853331,0.422491349,0.422491349,0.963580536,0.963580536,0.031527658,0.064238248,0.047882953,None,None,1,None,None,1,0.726457399,0.628070175,0.677263787,1.156650049,1.156650049,1.098387224,1.098387224,0.746630728,0.617729831,0.682180279,1.208668726,1.208668726,1.128900897,1.128900897,0.735074627,0.61006609,0.672570359,None,None,1,None,None,1,0.078374456,0.135069725,0.10672209,0.580251837,0.580251837,0.943304731,0.943304731,0.052437902,0.163232264,0.107835083,0.321247168,0.321247168,0.889205639,0.889205639,0.062608696,0.170480929,0.116544812,None,None,1,None,None,1,0.564814815,0.723549488,0.644182151,0.780616702,0.780616702,0.841265327,0.841265327,0.549707602,0.734896303,0.642301953,0.748007032,0.748007032,0.814811299,0.814811299,0.563492063,0.746108949,0.654800506,None,None,1,None,None,1,0.127559055,0.190806129,0.159182592,0.668527031,0.668527031,0.936752926,0.936752926,0.089644013,0.231662269,0.160653141,0.386959919,0.386959919,0.857981744,0.857981744,0.104426186,0.239904038,0.172165112,None,None,1,None,None,1
FairGPopp*TPR0.6,s_as_input=True,1,0.807160617,0.363963244,0.954051907,0.659007575,0.41562495,0.31232106,0.31232106,0.889266888,0.848679515,0.800439103,0.824559309,1.060267435,1.060267435,1.048240411,1.048240411,0.890524379,0.767147483,0.828835931,1.160825524,1.160825524,1.123376896,1.123376896,0.873891626,0.761968307,0.817929966,None,None,1,None,None,1,0.313901345,0.368859649,0.341380497,0.851004836,0.851004836,0.945041696,0.945041696,0.239892183,0.385553471,0.312722827,0.62220211,0.62220211,0.854338712,0.854338712,0.276363636,0.388632873,0.332498254,None,None,1,None,None,1,0.94991511,0.954816442,0.952365776,0.994866729,0.994866729,0.995098669,0.995098669,0.974048443,0.941655942,0.957852192,1.034399508,1.034399508,1.032392501,1.032392501,0.967521368,0.94235527,0.954938319,None,None,1,None,None,1,0.05008489,0.045183558,0.047634224,1.108475995,1.108475995,1.004901331,1.004901331,0.025951557,0.058344058,0.042147808,0.444802056,0.444802056,0.967607499,0.967607499,0.032478632,0.05764473,0.045061681,None,None,1,None,None,1,0.686098655,0.631140351,0.658619503,1.087077785,1.087077785,1.054958304,1.054958304,0.760107817,0.614446529,0.687277173,1.237060966,1.237060966,1.145661288,1.145661288,0.723636364,0.611367127,0.667501746,None,None,1,None,None,1,0.092077088,0.130459903,0.111268495,0.705788413,0.705788413,0.961617185,0.961617185,0.050291322,0.161024433,0.105657878,0.31232106,0.31232106,0.889266888,0.889266888,0.065517241,0.165471226,0.115494234,None,None,1,None,None,1,0.542635659,0.744906997,0.643771328,0.72846095,0.72846095,0.797728662,0.797728662,0.542682927,0.751371115,0.647027021,0.722256839,0.722256839,0.791311812,0.791311812,0.571428571,0.765120968,0.66827477,None,None,1,None,None,1,0.120283019,0.191229236,0.155756127,0.628999108,0.628999108,0.929053783,0.929053783,0.091055861,0.229824561,0.160440211,0.396197256,0.396197256,0.861231299,0.861231299,0.104902478,0.238656806,0.171779642,None,None,1,None,None,1
FairGPopp*TPR0.6,s_as_input=True,2,0.804276479,0.355972833,0.952860169,0.654416501,0.40514757,0.317710397,0.317710397,0.891339807,0.847482014,0.797345643,0.822413829,1.062879093,1.062879093,1.050136371,1.050136371,0.887764489,0.764203709,0.825984099,1.161685659,1.161685659,1.12356078,1.12356078,0.87232454,0.758986251,0.815655396,None,None,1,None,None,1,0.314655172,0.360193747,0.33742446,0.873572001,0.873572001,0.954461425,0.954461425,0.229110512,0.37804878,0.303579646,0.606034258,0.606034258,0.851061732,0.851061732,0.26534296,0.381734223,0.323538591,None,None,1,None,None,1,0.954231434,0.952611824,0.953421629,1.001700178,1.001700178,1.00161961,1.00161961,0.972318339,0.940797941,0.95655814,1.033503898,1.033503898,1.031520398,1.031520398,0.969399538,0.938845401,0.95412247,None,None,1,None,None,1,0.045768566,0.047388176,0.046578371,0.965822489,0.965822489,0.99838039,0.99838039,0.027681661,0.059202059,0.04344186,0.467579359,0.467579359,0.968479602,0.968479602,0.030600462,0.061154599,0.04587753,None,None,1,None,None,1,0.685344828,0.639806253,0.66257554,1.07117557,1.07117557,1.045538575,1.045538575,0.770889488,0.62195122,0.696420354,1.239469373,1.239469373,1.148938268,1.148938268,0.73465704,0.618265777,0.676461409,None,None,1,None,None,1,0.090647482,0.129371033,0.110009257,0.700678351,0.700678351,0.961276449,0.961276449,0.050597976,0.159258169,0.104928073,0.317710397,0.317710397,0.891339807,0.891339807,0.06296665,0.164651317,0.113808983,None,None,1,None,None,1,0.579365079,0.72970562,0.65453535,0.793970971,0.793970971,0.849659459,0.849659459,0.515151515,0.744916821,0.630034168,0.691555756,0.691555756,0.770234694,0.770234694,0.581027668,0.748490946,0.664759307,None,None,1,None,None,1,0.125791139,0.192603393,0.159197266,0.653109673,0.653109673,0.933187746,0.933187746,0.092377261,0.232142857,0.162260059,0.397932817,0.397932817,0.860234404,0.860234404,0.10810093,0.238945072,0.173523001,None,None,1,None,None,1
FairGPoppTPR0.6,s_as_input=False,0,0.808751865,0.365161806,0.955773305,0.660467555,0.420879097,0.267490253,0.267490253,0.880754227,0.852685051,0.801774807,0.827229929,1.063496936,1.063496936,1.050910244,1.050910244,0.898497393,0.765675596,0.832086495,1.173470067,1.173470067,1.132821797,1.132821797,0.880993789,0.76053068,0.820762234,None,None,1,None,None,1,0.282511211,0.373245614,0.327878412,0.756904301,0.756904301,0.909265597,0.909265597,0.245283019,0.386022514,0.315652766,0.635411174,0.635411174,0.859260505,0.859260505,0.264925373,0.392475852,0.328700612,None,None,1,None,None,1,0.962770563,0.954509927,0.958640245,1.008654322,1.008654322,1.008260636,1.008260636,0.982352941,0.939296439,0.96082469,1.045839098,1.045839098,1.043056502,1.043056502,0.975637719,0.938715235,0.957176477,None,None,1,None,None,1,0.037229437,0.045490073,0.041359755,0.818407938,0.818407938,0.991739364,0.991739364,0.017647059,0.060703561,0.03917531,0.290708792,0.290708792,0.956943498,0.956943498,0.024362281,0.061284765,0.042823523,None,None,1,None,None,1,0.717488789,0.626754386,0.672121588,1.144768677,1.144768677,1.090734403,1.090734403,0.754716981,0.613977486,0.684347234,1.229225824,1.229225824,1.140739495,1.140739495,0.735074627,0.607524148,0.671299388,None,None,1,None,None,1,0.076923077,0.131612308,0.104267693,0.584467197,0.584467197,0.945310769,0.945310769,0.043544925,0.162790698,0.103167811,0.267490253,0.267490253,0.880754227,0.880754227,0.056397516,0.169320066,0.112858791,None,None,1,None,None,1,0.594339623,0.745183888,0.669761755,0.797574441,0.797574441,0.849155735,0.849155735,0.64084507,0.744122966,0.692484018,0.861208564,0.861208564,0.896722105,0.896722105,0.625550661,0.75612145,0.690836055,None,None,1,None,None,1,0.125786164,0.189648308,0.157717236,0.663260141,0.663260141,0.936137856,0.936137856,0.089772363,0.230133615,0.159952989,0.390088006,0.390088006,0.859638748,0.859638748,0.10373881,0.238570573,0.171154691,None,None,1,None,None,1
FairGPoppTPR0.6,s_as_input=False,1,0.810542019,0.361566121,0.959348517,0.660457319,0.426186628,0.256805866,0.256805866,0.881968432,0.865810136,0.801594638,0.833702387,1.080109689,1.080109689,1.064215497,1.064215497,0.895737504,0.769649691,0.832693597,1.163824938,1.163824938,1.126087813,1.126087813,0.880295567,0.763302752,0.821799159,None,None,1,None,None,1,0.313901345,0.36622807,0.340064708,0.857119841,0.857119841,0.947673275,0.947673275,0.221024259,0.386022514,0.303523386,0.572568311,0.572568311,0.835001745,0.835001745,0.258181818,0.390681004,0.324431411,None,None,1,None,None,1,0.970288625,0.957326639,0.963807632,1.013539773,1.013539773,1.012961985,1.012961985,0.982352941,0.945087945,0.963720443,1.039430189,1.039430189,1.037264996,1.037264996,0.977777778,0.943344879,0.960561328,None,None,1,None,None,1,0.029711375,0.042673361,0.036192368,0.696251124,0.696251124,0.987038015,0.987038015,0.017647059,0.054912055,0.036279557,0.321369485,0.321369485,0.962735004,0.962735004,0.022222222,0.056655121,0.039438672,None,None,1,None,None,1,0.686098655,0.63377193,0.659935292,1.082563967,1.082563967,1.052326725,1.052326725,0.778975741,0.613977486,0.696476614,1.268736654,1.268736654,1.164998255,1.164998255,0.741818182,0.609318996,0.675568589,None,None,1,None,None,1,0.074946467,0.127917726,0.101432096,0.585895866,0.585895866,0.947028741,0.947028741,0.040785035,0.158816603,0.099800819,0.256805866,0.256805866,0.881968432,0.881968432,0.054187192,0.165471226,0.109829209,None,None,1,None,None,1,0.666666667,0.754290876,0.710478771,0.883832335,0.883832335,0.91237579,0.91237579,0.616541353,0.762743281,0.689642317,0.808320924,0.808320924,0.853798073,0.853798073,0.645454545,0.769153226,0.707303886,None,None,1,None,None,1,0.118055556,0.191466808,0.154761182,0.616584967,0.616584967,0.926588748,0.926588748,0.092391304,0.229046369,0.160718837,0.4033738,0.4033738,0.863344935,0.863344935,0.10625,0.237857286,0.172053643,None,None,1,None,None,1
FairGPoppTPR0.6,s_as_input=False,2,0.804177026,0.346783859,0.955773305,0.651278582,0.403247228,0.268006732,0.268006732,0.885255692,0.854676259,0.796076168,0.825376214,1.07361116,1.07361116,1.05860009,1.05860009,0.895124195,0.760523992,0.827824093,1.176983507,1.176983507,1.134600203,1.134600203,0.87705326,0.755673348,0.816363304,None,None,1,None,None,1,0.284482759,0.353148393,0.318815576,0.805561527,0.805561527,0.931334366,0.931334366,0.223719677,0.368198874,0.295959275,0.607605542,0.607605542,0.855520802,0.855520802,0.250902527,0.374037968,0.312470248,None,None,1,None,None,1,0.968911917,0.953393807,0.961152862,1.016276706,1.016276706,1.01551811,1.01551811,0.981314879,0.93993994,0.960627409,1.044018705,1.044018705,1.041374939,1.041374939,0.977193995,0.937622309,0.957408152,None,None,1,None,None,1,0.031088083,0.046606193,0.038847138,0.667037591,0.667037591,0.98448189,0.98448189,0.018685121,0.06006006,0.039372591,0.311107266,0.311107266,0.958625061,0.958625061,0.022806005,0.062377691,0.042591848,None,None,1,None,None,1,0.715517241,0.646851607,0.681184424,1.106153611,1.106153611,1.068665634,1.068665634,0.776280323,0.631801126,0.704040725,1.228678285,1.228678285,1.144479198,1.144479198,0.749097473,0.625962032,0.687529752,None,None,1,None,None,1,0.073381295,0.12694749,0.100164392,0.578044474,0.578044474,0.946433805,0.946433805,0.042011653,0.156755961,0.099383807,0.268006732,0.268006732,0.885255692,0.885255692,0.054255849,0.162994865,0.108625357,None,None,1,None,None,1,0.647058824,0.729090909,0.688074866,0.887487164,0.887487164,0.917967914,0.917967914,0.605839416,0.737089202,0.671464309,0.821935004,0.821935004,0.868750214,0.868750214,0.637614679,0.740853659,0.689234169,None,None,1,None,None,1,0.128881988,0.194183741,0.161532864,0.663711529,0.663711529,0.934698247,0.934698247,0.092189501,0.235119567,0.163654534,0.39209625,0.39209625,0.857069934,0.857069934,0.109210526,0.241440728,0.175325627,None,None,1,None,None,1
FairGPopp*TPR0.7,s_as_input=True,0,0.804276479,0.414302837,0.933527542,0.673915189,0.417726271,0.349342647,0.349342647,0.873775921,0.833817126,0.79958511,0.816701118,1.042812223,1.042812223,1.034232016,1.034232016,0.885311254,0.765381219,0.825346236,1.156693204,1.156693204,1.119930035,1.119930035,0.867329193,0.762189055,0.814759124,None,None,1,None,None,1,0.322869955,0.423245614,0.373057785,0.762843003,0.762843003,0.899624341,0.899624341,0.293800539,0.435272045,0.364536292,0.674981411,0.674981411,0.858528494,0.858528494,0.309701493,0.442806304,0.376253898,None,None,1,None,None,1,0.932467532,0.933718931,0.933093232,0.99865977,0.99865977,0.998748602,0.998748602,0.961245675,0.916344916,0.938795296,1.048999844,1.048999844,1.044900758,1.044900758,0.952995128,0.916810239,0.934902683,None,None,1,None,None,1,0.067532468,0.066281069,0.066906768,1.018880176,1.018880176,1.001251398,1.001251398,0.038754325,0.083655084,0.061204704,0.463263242,0.463263242,0.955099242,0.955099242,0.047004872,0.083189761,0.065097317,None,None,1,None,None,1,0.677130045,0.576754386,0.626942215,1.174035363,1.174035363,1.100375659,1.100375659,0.706199461,0.564727955,0.635463708,1.250512667,1.250512667,1.141471506,1.141471506,0.690298507,0.557193696,0.623746102,None,None,1,None,None,1,0.108853411,0.160078368,0.134465889,0.680000752,0.680000752,0.948775043,0.948775043,0.067770623,0.193994701,0.130882662,0.349342647,0.349342647,0.873775921,0.873775921,0.081987578,0.200497512,0.141242545,None,None,1,None,None,1,0.48,0.69474442,0.58737221,0.690901554,0.690901554,0.78525558,0.78525558,0.49321267,0.704097117,0.598654893,0.700489546,0.700489546,0.789115553,0.789115553,0.503030303,0.720430108,0.611730205,None,None,1,None,None,1,0.122964169,0.180433589,0.151698879,0.681492674,0.681492674,0.94253058,0.94253058,0.086184211,0.219868517,0.153026364,0.391980678,0.391980678,0.866315693,0.866315693,0.100135318,0.227338726,0.163737022,None,None,1,None,None,1
FairGPopp*TPR0.7,s_as_input=True,1,0.805569368,0.410707151,0.936440678,0.673573915,0.420405459,0.3333456,0.3333456,0.872438811,0.840114204,0.799976889,0.820045547,1.050173093,1.050173093,1.040137315,1.040137315,0.887457835,0.766264351,0.826861093,1.158161454,1.158161454,1.121193484,1.121193484,0.868719212,0.762802335,0.815760774,None,None,1,None,None,1,0.32735426,0.418859649,0.373106955,0.781536872,0.781536872,0.908494611,0.908494611,0.285714286,0.432457786,0.359086036,0.66067555,0.66067555,0.8532565,0.8532565,0.305454545,0.440348182,0.372901364,None,None,1,None,None,1,0.937181664,0.936303734,0.936742699,1.000937655,1.000937655,1.00087793,1.00087793,0.964705882,0.918918919,0.941812401,1.04982699,1.04982699,1.045786963,1.045786963,0.956980057,0.918604651,0.937792354,None,None,1,None,None,1,0.062818336,0.063696266,0.063257301,0.986216933,0.986216933,0.99912207,0.99912207,0.035294118,0.081081081,0.058187599,0.435294118,0.435294118,0.954213037,0.954213037,0.043019943,0.081395349,0.062207646,None,None,1,None,None,1,0.67264574,0.581140351,0.626893045,1.15745833,1.15745833,1.091505389,1.091505389,0.714285714,0.567542214,0.640913964,1.258559622,1.258559622,1.1467435,1.1467435,0.694545455,0.559651818,0.627098636,None,None,1,None,None,1,0.104925054,0.157268315,0.131096684,0.667172236,0.667172236,0.947656738,0.947656738,0.063784115,0.191345305,0.12756471,0.3333456,0.3333456,0.872438811,0.872438811,0.078571429,0.198331943,0.138451686,None,None,1,None,None,1,0.496598639,0.701689934,0.599144287,0.707718061,0.707718061,0.794908706,0.794908706,0.509615385,0.709230769,0.609423077,0.718546638,0.718546638,0.800384615,0.800384615,0.526645768,0.723296888,0.624971328,None,None,1,None,None,1,0.119617225,0.181681064,0.150649144,0.658391261,0.658391261,0.937936161,0.937936161,0.086799869,0.220240262,0.153520066,0.394114446,0.394114446,0.866559607,0.866559607,0.102111735,0.227424053,0.164767894,None,None,1,None,None,1
FairGPopp*TPR0.7,s_as_input=True,2,0.803182496,0.403915302,0.935513771,0.669714536,0.412186516,0.347234999,0.347234999,0.876633756,0.84028777,0.797230237,0.818759003,1.054008906,1.054008906,1.043057533,1.043057533,0.887457835,0.762731822,0.825094829,1.163525382,1.163525382,1.124726013,1.124726013,0.868840219,0.759483187,0.814161703,None,None,1,None,None,1,0.357758621,0.408630559,0.38319459,0.87550628,0.87550628,0.949128061,0.949128061,0.293800539,0.423076923,0.358438731,0.694437638,0.694437638,0.870723616,0.870723616,0.323104693,0.426885582,0.374995138,None,None,1,None,None,1,0.936960276,0.935251799,0.936106037,1.001826757,1.001826757,1.001708478,1.001708478,0.96366782,0.918060918,0.940864369,1.049677425,1.049677425,1.045606902,1.045606902,0.956120092,0.918052838,0.937086465,None,None,1,None,None,1,0.063039724,0.064748201,0.063893963,0.97361351,0.97361351,0.998291522,0.998291522,0.03633218,0.081939082,0.059135631,0.443404772,0.443404772,0.954393098,0.954393098,0.043879908,0.081947162,0.062913535,None,None,1,None,None,1,0.642241379,0.591369441,0.61680541,1.086023956,1.086023956,1.050871939,1.050871939,0.706199461,0.576923077,0.641561269,1.224079066,1.224079066,1.129276384,1.129276384,0.676895307,0.573114418,0.625004862,None,None,1,None,None,1,0.112230216,0.154875938,0.133553077,0.724645917,0.724645917,0.957354278,0.957354278,0.065624042,0.188990286,0.127307164,0.347234999,0.347234999,0.876633756,0.876633756,0.082379293,0.193307934,0.137843614,None,None,1,None,None,1,0.532051282,0.691505216,0.611778249,0.769410367,0.769410367,0.840546066,0.840546066,0.509345794,0.702492212,0.605919003,0.725055432,0.725055432,0.806853583,0.806853583,0.540785498,0.71293916,0.626862329,None,None,1,None,None,1,0.120745543,0.183394784,0.152070163,0.658391371,0.658391371,0.937350759,0.937350759,0.085986216,0.22323049,0.154608353,0.385190284,0.385190284,0.862755726,0.862755726,0.101708706,0.22936345,0.165536078,None,None,1,None,None,1
FairGPoppTPR0.7,s_as_input=False,0,0.806166087,0.398322014,0.941340042,0.669831028,0.419275574,0.314759784,0.314759784,0.873824623,0.839622642,0.800852829,0.820237735,1.048410658,1.048410658,1.038769812,1.038769812,0.893897577,0.76405652,0.828977049,1.169936456,1.169936456,1.129841057,1.129841057,0.874285714,0.760696517,0.817491116,None,None,1,None,None,1,0.286995516,0.409210526,0.348103021,0.701339524,0.701339524,0.877784989,0.877784989,0.288409704,0.417448405,0.352929054,0.690887065,0.690887065,0.870961298,0.870961298,0.291044776,0.427554652,0.359299714,None,None,1,None,None,1,0.946320346,0.940440832,0.943380589,1.006251871,1.006251871,1.005879515,1.005879515,0.971626298,0.922565423,0.94709586,1.053178749,1.053178749,1.049060875,1.049060875,0.9638865,0.921978833,0.942932667,None,None,1,None,None,1,0.053679654,0.059559168,0.056619411,0.901282794,0.901282794,0.994120485,0.994120485,0.028373702,0.077434577,0.05290414,0.366421609,0.366421609,0.950939125,0.950939125,0.0361135,0.078021167,0.057067333,None,None,1,None,None,1,0.713004484,0.590789474,0.651896979,1.206867279,1.206867279,1.122215011,1.122215011,0.711590296,0.582551595,0.647070946,1.221506048,1.221506048,1.129038702,1.129038702,0.708955224,0.572445348,0.640700286,None,None,1,None,None,1,0.091436865,0.151434828,0.121435846,0.603803408,0.603803408,0.940002037,0.940002037,0.057957682,0.184133059,0.12104537,0.314759784,0.314759784,0.873824623,0.873824623,0.070062112,0.192039801,0.131050956,None,None,1,None,None,1,0.507936508,0.710045662,0.608991085,0.715357526,0.715357526,0.797890846,0.797890846,0.566137566,0.711430855,0.638784211,0.795773141,0.795773141,0.854706711,0.854706711,0.553191489,0.726252159,0.639721824,None,None,1,None,None,1,0.126996805,0.182941736,0.15496927,0.694192633,0.694192633,0.944055069,0.944055069,0.0859375,0.22406639,0.155001945,0.38353588,0.38353588,0.86187111,0.86187111,0.101522843,0.231116585,0.166319714,None,None,1,None,None,1
FairGPoppTPR0.7,s_as_input=False,1,0.810939831,0.40311626,0.946106992,0.674611626,0.434111413,0.311158636,0.311158636,0.875087936,0.858672377,0.803212387,0.830942382,1.069047727,1.069047727,1.05545999,1.05545999,0.894817541,0.770680012,0.832748776,1.161075319,1.161075319,1.124137529,1.124137529,0.87955665,0.764470392,0.822013521,None,None,1,None,None,1,0.349775785,0.408333333,0.379054559,0.856593759,0.856593759,0.941442451,0.941442451,0.285714286,0.423545966,0.354630126,0.674576807,0.674576807,0.862168319,0.862168319,0.318181818,0.42703533,0.372608574,None,None,1,None,None,1,0.955008489,0.944461876,0.949735183,1.011166795,1.011166795,1.010546613,1.010546613,0.973010381,0.929429429,0.951219905,1.046890006,1.046890006,1.043580951,1.043580951,0.967521368,0.927511133,0.94751625,None,None,1,None,None,1,0.044991511,0.055538124,0.050264817,0.810101388,0.810101388,0.989453387,0.989453387,0.026989619,0.070570571,0.048780095,0.382448649,0.382448649,0.956419049,0.956419049,0.032478632,0.072488867,0.05248375,None,None,1,None,None,1,0.650224215,0.591666667,0.620945441,1.098970505,1.098970505,1.058557549,1.058557549,0.714285714,0.576454034,0.645369874,1.239102639,1.239102639,1.137831681,1.137831681,0.681818182,0.57296467,0.627391426,None,None,1,None,None,1,0.09350464,0.148486249,0.120995444,0.629719183,0.629719183,0.94501839,0.94501839,0.05642441,0.181336473,0.118880442,0.311158636,0.311158636,0.875087936,0.875087936,0.071182266,0.187989992,0.129586129,None,None,1,None,None,1,0.595419847,0.724513619,0.659966733,0.82182009,0.82182009,0.870906229,0.870906229,0.576086957,0.732954545,0.654520751,0.785979103,0.785979103,0.843132411,0.843132411,0.605536332,0.740017746,0.672777039,None,None,1,None,None,1,0.114173228,0.183064188,0.148618708,0.623678665,0.623678665,0.931109041,0.931109041,0.086122847,0.220963682,0.153543265,0.389760191,0.389760191,0.865159165,0.865159165,0.099443119,0.229868529,0.164655824,None,None,1,None,None,1
