algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
UGP_dem_par_in_True_tar_0.1,s_as_input=True,0,0.564414195,0.060832444,0.985714286,0.523273365,0.12529557,5.760255465,5.760255465,1.04080219,0.642473118,0.547181009,0.594827064,1.174150981,1.174150981,1.095292109,1.095292109,0.543109801,0.605714286,0.574412043,0.896643539,0.896643539,0.937395515,0.937395515,0.552700922,0.597402597,0.57505176,None,None,1,None,None,1,0.015151515,0.068322981,0.041737248,0.221763085,0.221763085,0.946828534,0.946828534,0.082956259,0.00729927,0.045127765,11.36500754,11.36500754,1.075656989,1.075656989,0.076177285,0.009302326,0.042739805,None,None,1,None,None,1,0.9875,0.985227273,0.986363636,1.002306805,1.002306805,1.002272727,1.002272727,0.982708934,0.990610329,0.986659631,0.99202371,0.99202371,0.992098605,0.992098605,0.984924623,0.987654321,0.986289472,None,None,1,None,None,1,0.0125,0.014772727,0.013636364,0.846153846,0.846153846,0.997727273,0.997727273,0.017291066,0.009389671,0.013340369,1.841498559,1.841498559,1.007901395,1.007901395,0.015075377,0.012345679,0.013710528,None,None,1,None,None,1,0.984848485,0.931677019,0.958262752,1.057070707,1.057070707,1.053171466,1.053171466,0.917043741,0.99270073,0.954872235,0.923786709,0.923786709,0.924343011,0.924343011,0.923822715,0.990697674,0.957260195,None,None,1,None,None,1,0.01344086,0.040356083,0.026898472,0.33305661,0.33305661,0.973084777,0.973084777,0.049373618,0.008571429,0.028972523,5.760255465,5.760255465,1.04080219,1.04080219,0.044137022,0.011131725,0.027634374,None,None,1,None,None,1,0.4,0.808823529,0.604411765,0.494545455,0.494545455,0.591176471,0.591176471,0.820895522,0.333333333,0.577114428,2.462686567,2.462686567,1.487562189,1.487562189,0.820895522,0.333333333,0.577114428,None,None,1,None,None,1,0.354223433,0.463821892,0.409022663,0.763705722,0.763705722,0.890401541,0.890401541,0.471317829,0.391930836,0.431624333,1.20255358,1.20255358,1.079386994,1.079386994,0.459682977,0.399624765,0.429653871,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.1,s_as_input=True,1,0.568789499,0.066168623,0.989285714,0.527727169,0.148298621,5.846229428,5.846229428,1.041539109,0.654822335,0.548406494,0.601614415,1.194045552,1.194045552,1.106415841,1.106415841,0.54532056,0.614285714,0.579803137,0.887731144,0.887731144,0.931034846,0.931034846,0.555849306,0.604779412,0.580314359,None,None,1,None,None,1,0.02173913,0.073842303,0.047790717,0.29439941,0.29439941,0.947896828,0.947896828,0.085972851,0.018248175,0.052110513,4.711312217,4.711312217,1.067724675,1.067724675,0.079387187,0.02283105,0.051109118,None,None,1,None,None,1,0.99609375,0.987268519,0.991681134,1.008939039,1.008939039,1.008825231,1.008825231,0.984149856,0.997652582,0.990901219,0.986465503,0.986465503,0.986497274,0.986497274,0.986163522,0.996923077,0.991543299,None,None,1,None,None,1,0.00390625,0.012731481,0.008318866,0.306818182,0.306818182,0.991174769,0.991174769,0.015850144,0.002347418,0.009098781,6.752161383,6.752161383,1.013502726,1.013502726,0.013836478,0.003076923,0.008456701,None,None,1,None,None,1,0.97826087,0.926157697,0.952209283,1.056257344,1.056257344,1.052103172,1.052103172,0.914027149,0.981751825,0.947889487,0.931016502,0.931016502,0.932275325,0.932275325,0.920612813,0.97716895,0.948890882,None,None,1,None,None,1,0.010152284,0.042092604,0.026122444,0.241189268,0.241189268,0.968059681,0.968059681,0.050110538,0.008571429,0.029340983,5.846229428,5.846229428,1.041539109,1.041539109,0.04494382,0.011029412,0.027986616,None,None,1,None,None,1,0.75,0.842857143,0.796428571,0.889830508,0.889830508,0.907142857,0.907142857,0.838235294,0.833333333,0.835784314,1.005882353,1.005882353,1.004901961,1.004901961,0.838235294,0.833333333,0.835784314,None,None,1,None,None,1,0.346153846,0.464532329,0.405343088,0.74516632,0.74516632,0.881621517,0.881621517,0.470131885,0.387608069,0.428869977,1.21290531,1.21290531,1.082523816,1.082523816,0.457439446,0.397769517,0.427604482,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.1,s_as_input=True,2,0.562469616,0.054429029,0.9875,0.520964514,0.119369195,5.072463768,5.072463768,1.034906832,0.64,0.545184304,0.592592152,1.17391494,1.17391494,1.094815696,1.094815696,0.538688283,0.608571429,0.573629856,0.88516854,0.88516854,0.930116854,0.930116854,0.550993377,0.594149909,0.572571643,None,None,1,None,None,1,0.035714286,0.057716437,0.046715361,0.61878882,0.61878882,0.977997849,0.977997849,0.07239819,0.010948905,0.041673548,6.612368024,6.612368024,1.061449285,1.061449285,0.068435754,0.009049774,0.038742764,None,None,1,None,None,1,1,0.984180791,0.992090395,1.016073479,1.016073479,1.015819209,1.015819209,0.984149856,0.992957746,0.988553801,0.991129642,0.991129642,0.991192109,0.991192109,0.986146096,0.990797546,0.988471821,None,None,1,None,None,1,0,0.015819209,0.007909605,0,1,0.984180791,0.984180791,0.015850144,0.007042254,0.011446199,2.250720461,2.250720461,1.008807891,1.008807891,0.013853904,0.009202454,0.011528179,None,None,1,None,None,1,0.964285714,0.942283563,0.953284639,1.023349819,1.023349819,1.022002151,1.022002151,0.92760181,0.989051095,0.958326452,0.937870465,0.937870465,0.938550715,0.938550715,0.931564246,0.990950226,0.961257236,None,None,1,None,None,1,0.013333333,0.035671819,0.024502576,0.373777778,0.373777778,0.977661514,0.977661514,0.043478261,0.008571429,0.026024845,5.072463768,5.072463768,1.034906832,1.034906832,0.039735099,0.009140768,0.024437934,None,None,1,None,None,1,1,0.766666667,0.883333333,1.304347826,1.304347826,1.233333333,1.233333333,0.813559322,0.5,0.656779661,1.627118644,1.627118644,1.313559322,1.313559322,0.816666667,0.4,0.608333333,None,None,1,None,None,1,0.364864865,0.463008631,0.413936748,0.788030374,0.788030374,0.901856234,0.901856234,0.473805855,0.390489914,0.432147884,1.213362596,1.213362596,1.083315942,1.083315942,0.46,0.404059041,0.43202952,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.1,s_as_input=False,0,0.571220224,0.07470651,0.986607143,0.530656826,0.153416857,3.138049619,3.138049619,1.036652279,0.655913978,0.552522255,0.604218117,1.187126803,1.187126803,1.103391723,1.103391723,0.549005158,0.614285714,0.581645436,0.893729328,0.893729328,0.934719444,0.934719444,0.559947299,0.60296846,0.58145788,None,None,1,None,None,1,0.045454545,0.079503106,0.062478826,0.571732955,0.571732955,0.96595144,0.96595144,0.093514329,0.02919708,0.061355705,3.202865762,3.202865762,1.064317249,1.064317249,0.090027701,0.023255814,0.056641757,None,None,1,None,None,1,0.991666667,0.985227273,0.98844697,1.006535948,1.006535948,1.006439394,1.006439394,0.984149856,0.990610329,0.987380092,0.993478291,0.993478291,0.993539527,0.993539527,0.986180905,0.987654321,0.986917613,None,None,1,None,None,1,0.008333333,0.014772727,0.01155303,0.564102564,0.564102564,0.993560606,0.993560606,0.015850144,0.009389671,0.012619908,1.688040346,1.688040346,1.006460473,1.006460473,0.013819095,0.012345679,0.013082387,None,None,1,None,None,1,0.954545455,0.920496894,0.937521174,1.036989326,1.036989326,1.03404856,1.03404856,0.906485671,0.97080292,0.938644295,0.933748398,0.933748398,0.935682751,0.935682751,0.909972299,0.976744186,0.943358243,None,None,1,None,None,1,0.021505376,0.045697329,0.033601353,0.470604664,0.470604664,0.975808047,0.975808047,0.053795136,0.017142857,0.035468997,3.138049619,3.138049619,1.036652279,1.036652279,0.050065876,0.016697588,0.033381732,None,None,1,None,None,1,0.75,0.831168831,0.790584416,0.90234375,0.90234375,0.918831169,0.918831169,0.849315068,0.666666667,0.757990868,1.273972603,1.273972603,1.182648402,1.182648402,0.855263158,0.555555556,0.705409357,None,None,1,None,None,1,0.346153846,0.460820896,0.403487371,0.75116786,0.75116786,0.885332951,0.885332951,0.468068536,0.386627907,0.427348221,1.210643431,1.210643431,1.081440629,1.081440629,0.455617198,0.396226415,0.425921807,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.1,s_as_input=False,1,0.572192513,0.071504803,0.991071429,0.531288116,0.16417622,1.966654385,1.966654385,1.022094957,0.66751269,0.54960914,0.608560915,1.214522543,1.214522543,1.11790355,1.11790355,0.549005158,0.617142857,0.583074008,0.889591692,0.889591692,0.931862301,0.931862301,0.562458691,0.599264706,0.580861699,None,None,1,None,None,1,0.057971014,0.073842303,0.065906659,0.785065095,0.785065095,0.984128712,0.984128712,0.084464555,0.040145985,0.06230527,2.10393528,2.10393528,1.04431857,1.04431857,0.084958217,0.02739726,0.056177739,None,None,1,None,None,1,0.99609375,0.989583333,0.992838542,1.006578947,1.006578947,1.006510417,1.006510417,0.992795389,0.988262911,0.99052915,1.004586308,1.004586308,1.004532478,1.004532478,0.993710692,0.984615385,0.989163038,None,None,1,None,None,1,0.00390625,0.010416667,0.007161458,0.375,0.375,0.993489583,0.993489583,0.007204611,0.011737089,0.00947085,0.613832853,0.613832853,0.995467522,0.995467522,0.006289308,0.015384615,0.010836962,None,None,1,None,None,1,0.942028986,0.926157697,0.934093341,1.017136702,1.017136702,1.015871288,1.015871288,0.915535445,0.959854015,0.93769473,0.953827802,0.953827802,0.95568143,0.95568143,0.915041783,0.97260274,0.943822261,None,None,1,None,None,1,0.02284264,0.040889958,0.031866299,0.558636907,0.558636907,0.981952682,0.981952682,0.0449521,0.022857143,0.033904622,1.966654385,1.966654385,1.022094957,1.022094957,0.043621943,0.020220588,0.031921266,None,None,1,None,None,1,0.888888889,0.867647059,0.878267974,1.024482109,1.024482109,1.02124183,1.02124183,0.918032787,0.6875,0.802766393,1.335320417,1.335320417,1.230532787,1.230532787,0.924242424,0.545454545,0.734848485,None,None,1,None,None,1,0.337662338,0.463949843,0.40080609,0.727799228,0.727799228,0.873712494,0.873712494,0.468364198,0.384502924,0.426433561,1.218103084,1.218103084,1.083861274,1.083861274,0.454042847,0.399624765,0.426833806,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.1,s_as_input=False,2,0.569275644,0.067235859,0.989285714,0.528260787,0.150179479,3.352984525,3.352984525,1.033614065,0.653333333,0.550535077,0.601934205,1.186724262,1.186724262,1.102798256,1.102798256,0.54458364,0.617142857,0.580863249,0.882427195,0.882427195,0.927440783,0.927440783,0.558278146,0.599634369,0.578956257,None,None,1,None,None,1,0.071428571,0.066499373,0.068963972,1.074123989,1.074123989,1.004929199,1.004929199,0.082956259,0.02919708,0.05607667,2.841251885,2.841251885,1.053759179,1.053759179,0.082402235,0.018099548,0.050250891,None,None,1,None,None,1,1,0.986440678,0.993220339,1.013745704,1.013745704,1.013559322,1.013559322,0.985590778,0.995305164,0.990447971,0.990239791,0.990239791,0.990285614,0.990285614,0.987405542,0.993865031,0.990635286,None,None,1,None,None,1,0,0.013559322,0.006779661,0,1,0.986440678,0.986440678,0.014409222,0.004694836,0.009552029,3.069164265,3.069164265,1.009714386,1.009714386,0.012594458,0.006134969,0.009364714,None,None,1,None,None,1,0.928571429,0.933500627,0.931036028,0.994719662,0.994719662,0.995070801,0.995070801,0.917043741,0.97080292,0.94392333,0.944624003,0.944624003,0.946240821,0.946240821,0.917597765,0.981900452,0.949749109,None,None,1,None,None,1,0.026666667,0.038644471,0.032655569,0.690051282,0.690051282,0.988022196,0.988022196,0.047899779,0.014285714,0.031092747,3.352984525,3.352984525,1.033614065,1.033614065,0.045695364,0.010968921,0.028332143,None,None,1,None,None,1,1,0.815384615,0.907692308,1.226415094,1.226415094,1.184615385,1.184615385,0.846153846,0.8,0.823076923,1.057692308,1.057692308,1.046153846,1.046153846,0.855072464,0.666666667,0.760869565,None,None,1,None,None,1,0.356164384,0.460111317,0.40813785,0.774083076,0.774083076,0.896053066,0.896053066,0.470588235,0.385507246,0.428047741,1.220698806,1.220698806,1.085080989,1.085080989,0.45593338,0.401109057,0.428521218,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.2,s_as_input=True,0,0.574623238,0.088580576,0.98125,0.534915288,0.158729132,3.610906411,3.610906411,1.048488262,0.658602151,0.556083086,0.607342618,1.184359257,1.184359257,1.102519064,1.102519064,0.553426676,0.615714286,0.584570481,0.89883683,0.89883683,0.937712391,0.937712391,0.563899868,0.604823748,0.584361808,None,None,1,None,None,1,0.053030303,0.094409938,0.07372012,0.561702552,0.561702552,0.958620365,0.958620365,0.111613876,0.032846715,0.072230296,3.398022457,3.398022457,1.078767161,1.078767161,0.108033241,0.023255814,0.065644527,None,None,1,None,None,1,0.991666667,0.978409091,0.985037879,1.013550136,1.013550136,1.013257576,1.013257576,0.975504323,0.990610329,0.983057326,0.984750809,0.984750809,0.984893994,0.984893994,0.977386935,0.990740741,0.984063838,None,None,1,None,None,1,0.008333333,0.021590909,0.014962121,0.385964912,0.385964912,0.986742424,0.986742424,0.024495677,0.009389671,0.016942674,2.608789625,2.608789625,1.015106006,1.015106006,0.022613065,0.009259259,0.015936162,None,None,1,None,None,1,0.946969697,0.905590062,0.92627988,1.045693561,1.045693561,1.041379635,1.041379635,0.888386124,0.967153285,0.927769704,0.918557728,0.918557728,0.921232839,0.921232839,0.891966759,0.976744186,0.934355473,None,None,1,None,None,1,0.024193548,0.056379822,0.040286685,0.429117148,0.429117148,0.967813726,0.967813726,0.06705969,0.018571429,0.04281556,3.610906411,3.610906411,1.048488262,1.048488262,0.063241107,0.014842301,0.039041704,None,None,1,None,None,1,0.777777778,0.8,0.788888889,0.972222222,0.972222222,0.977777778,0.977777778,0.813186813,0.692307692,0.752747253,1.174603175,1.174603175,1.120879121,1.120879121,0.8125,0.625,0.71875,None,None,1,None,None,1,0.344352617,0.458490566,0.401421592,0.751057148,0.751057148,0.885862051,0.885862051,0.465244866,0.38573508,0.425489973,1.206125369,1.206125369,1.079509786,1.079509786,0.452883263,0.395480226,0.424181744,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.2,s_as_input=True,1,0.579970831,0.103521878,0.978571429,0.541046653,0.173756554,3.645295996,3.645295996,1.056684914,0.66751269,0.559230307,0.613371499,1.193627531,1.193627531,1.108282384,1.108282384,0.560058954,0.618571429,0.589315191,0.905407084,0.905407084,0.941487525,0.941487525,0.571050892,0.604779412,0.587915152,None,None,1,None,None,1,0.079710145,0.107634543,0.093672344,0.740562858,0.740562858,0.972075602,0.972075602,0.129713424,0.040145985,0.084929705,3.231043466,3.231043466,1.089567438,1.089567438,0.125348189,0.03196347,0.07865583,None,None,1,None,None,1,0.984375,0.976851852,0.980613426,1.007701422,1.007701422,1.007523148,1.007523148,0.971181556,0.990610329,0.980895942,0.980387069,0.980387069,0.980571228,0.980571228,0.973584906,0.990769231,0.982177068,None,None,1,None,None,1,0.015625,0.023148148,0.019386574,0.675,0.675,0.992476852,0.992476852,0.028818444,0.009389671,0.019104058,3.069164265,3.069164265,1.019428772,1.019428772,0.026415094,0.009230769,0.017822932,None,None,1,None,None,1,0.920289855,0.892365457,0.906327656,1.031292558,1.031292558,1.027924398,1.027924398,0.870286576,0.959854015,0.915070295,0.906686395,0.906686395,0.910432562,0.910432562,0.874651811,0.96803653,0.92134417,None,None,1,None,None,1,0.038071066,0.063740229,0.050905647,0.597284743,0.597284743,0.974330837,0.974330837,0.078113486,0.021428571,0.049771029,3.645295996,3.645295996,1.056684914,1.056684914,0.073364177,0.018382353,0.045873265,None,None,1,None,None,1,0.733333333,0.811320755,0.772327044,0.903875969,0.903875969,0.922012579,0.922012579,0.811320755,0.733333333,0.772327044,1.106346484,1.106346484,1.077987421,1.077987421,0.810810811,0.7,0.755405405,None,None,1,None,None,1,0.335092348,0.45793192,0.396512134,0.731751453,0.731751453,0.877160428,0.877160428,0.461231015,0.383941606,0.422586311,1.201305116,1.201305116,1.077289409,1.077289409,0.447931526,0.397003745,0.422467636,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.2,s_as_input=True,2,0.577053962,0.091782284,0.983035714,0.537408999,0.169297418,3.997789241,3.997789241,1.051390673,0.650666667,0.560642093,0.60565438,1.160574054,1.160574054,1.090024574,1.090024574,0.556374355,0.617142857,0.586758606,0.90153252,0.90153252,0.939231498,0.939231498,0.568211921,0.601462523,0.584837222,None,None,1,None,None,1,0.064285714,0.096612296,0.080449005,0.665398887,0.665398887,0.967673418,0.967673418,0.116138763,0.032846715,0.074492739,3.535780124,3.535780124,1.083292048,1.083292048,0.111731844,0.027149321,0.069440582,None,None,1,None,None,1,1,0.978531073,0.989265537,1.021939954,1.021939954,1.021468927,1.021468927,0.976945245,0.992957746,0.984951496,0.983873935,0.983873935,0.983987498,0.983987498,0.979848866,0.990797546,0.985323206,None,None,1,None,None,1,0,0.021468927,0.010734463,0,1,0.978531073,0.978531073,0.023054755,0.007042254,0.015048504,3.273775216,3.273775216,1.016012502,1.016012502,0.020151134,0.009202454,0.014676794,None,None,1,None,None,1,0.935714286,0.903387704,0.919550995,1.03578373,1.03578373,1.032326582,1.032326582,0.883861237,0.967153285,0.925507261,0.913879166,0.913879166,0.916707952,0.916707952,0.888268156,0.972850679,0.930559418,None,None,1,None,None,1,0.024,0.057074911,0.040537455,0.4205,0.4205,0.966925089,0.966925089,0.06853353,0.017142857,0.042838193,3.997789241,3.997789241,1.051390673,1.051390673,0.063576159,0.016453382,0.040014771,None,None,1,None,None,1,1,0.802083333,0.901041667,1.246753247,1.246753247,1.197916667,1.197916667,0.827956989,0.75,0.788978495,1.103942652,1.103942652,1.077956989,1.077956989,0.833333333,0.666666667,0.75,None,None,1,None,None,1,0.357923497,0.453972257,0.405947877,0.788425926,0.788425926,0.90395124,0.90395124,0.463607595,0.385174419,0.424391007,1.203630284,1.203630284,1.078433176,1.078433176,0.449787836,0.399628253,0.424708044,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.2,s_as_input=False,0,0.58483228,0.108858058,0.983035714,0.545946886,0.194499963,2.197943033,2.197943033,1.039360985,0.666666667,0.566765579,0.616716123,1.176265271,1.176265271,1.099901088,1.099901088,0.565954311,0.621428571,0.593691441,0.910731075,0.910731075,0.94452574,0.94452574,0.575757576,0.61038961,0.593073593,None,None,1,None,None,1,0.075757576,0.114285714,0.095021645,0.662878788,0.662878788,0.961471861,0.961471861,0.129713424,0.058394161,0.094053792,2.221342383,2.221342383,1.071319263,1.071319263,0.126038781,0.051162791,0.088600786,None,None,1,None,None,1,0.991666667,0.980681818,0.986174242,1.011201236,1.011201236,1.010984848,1.010984848,0.982708934,0.983568075,0.983138504,0.999126505,0.999126505,0.999140859,0.999140859,0.983668342,0.981481481,0.982574912,None,None,1,None,None,1,0.008333333,0.019318182,0.013825758,0.431372549,0.431372549,0.989015152,0.989015152,0.017291066,0.016431925,0.016861496,1.052284891,1.052284891,1.000859141,1.000859141,0.016331658,0.018518519,0.017425088,None,None,1,None,None,1,0.924242424,0.885714286,0.904978355,1.043499511,1.043499511,1.038528139,1.038528139,0.870286576,0.941605839,0.905946208,0.924257837,0.924257837,0.928680737,0.928680737,0.873961219,0.948837209,0.911399214,None,None,1,None,None,1,0.032258065,0.064688427,0.048473246,0.498668245,0.498668245,0.967569637,0.967569637,0.072218128,0.032857143,0.052537636,2.197943033,2.197943033,1.039360985,1.039360985,0.068511199,0.031539889,0.050025544,None,None,1,None,None,1,0.833333333,0.844036697,0.838685015,0.987318841,0.987318841,0.989296636,0.989296636,0.87755102,0.695652174,0.786601597,1.261479592,1.261479592,1.181898846,1.181898846,0.875,0.647058824,0.761029412,None,None,1,None,None,1,0.338888889,0.452411168,0.395650028,0.749072775,0.749072775,0.886477721,0.886477721,0.458300238,0.381093058,0.419696648,1.202594036,1.202594036,1.077207181,1.077207181,0.446251768,0.390804598,0.418528183,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.2,s_as_input=False,1,0.578512397,0.094983991,0.983035714,0.539009853,0.174206886,2.579218865,2.579218865,1.040608485,0.659898477,0.559230307,0.609564392,1.180012008,1.180012008,1.10066817,1.10066817,0.557111275,0.62,0.588555637,0.898566572,0.898566572,0.937111275,0.937111275,0.5677462,0.608455882,0.588101041,None,None,1,None,None,1,0.057971014,0.101376721,0.079673868,0.571837538,0.571837538,0.956594294,0.956594294,0.114630468,0.047445255,0.081037862,2.416057547,2.416057547,1.067185212,1.067185212,0.110027855,0.0456621,0.077844978,None,None,1,None,None,1,0.984375,0.982638889,0.983506944,1.001766784,1.001766784,1.001736111,1.001736111,0.979827089,0.988262911,0.984045,0.991463991,0.991463991,0.991564179,0.991564179,0.981132075,0.987692308,0.984412192,None,None,1,None,None,1,0.015625,0.017361111,0.016493056,0.9,0.9,0.998263889,0.998263889,0.020172911,0.011737089,0.015955,1.718731988,1.718731988,1.008435821,1.008435821,0.018867925,0.012307692,0.015587808,None,None,1,None,None,1,0.942028986,0.898623279,0.920326132,1.04830245,1.04830245,1.043405706,1.043405706,0.885369532,0.952554745,0.918962138,0.929468398,0.929468398,0.932814788,0.932814788,0.889972145,0.9543379,0.922155022,None,None,1,None,None,1,0.030456853,0.057726999,0.044091926,0.527601523,0.527601523,0.972729853,0.972729853,0.066322771,0.025714286,0.046018528,2.579218865,2.579218865,1.040608485,1.040608485,0.062128222,0.025735294,0.043931758,None,None,1,None,None,1,0.666666667,0.84375,0.755208333,0.790123457,0.790123457,0.822916667,0.822916667,0.844444444,0.722222222,0.783333333,1.169230769,1.169230769,1.122222222,1.122222222,0.840425532,0.714285714,0.777355623,None,None,1,None,None,1,0.340314136,0.458200383,0.39925726,0.742719013,0.742719013,0.882113753,0.882113753,0.463299132,0.382697947,0.42299854,1.210613057,1.210613057,1.080601185,1.080601185,0.450317125,0.394339623,0.422328374,None,None,1,None,None,1
